Name,Role,Market Value,Squadra
Alessandro Florenzi,"Alessandro Florenzi  




            Terzino destro","1,50 mln €",AC Milan
Youssouf Fofana,"Youssouf Fofana            




            Mediano","30,00 mln €",AC Milan
Ismaël Bennacer,"Ismaël Bennacer            




            Mediano","14,00 mln €",AC Milan
Tijjani Reijnders,"Tijjani Reijnders            




            Centrale","50,00 mln €",AC Milan
Yunus Musah,"Yunus Musah            




            Centrale","22,00 mln €",AC Milan
Ruben Loftus-Cheek,"Ruben Loftus-Cheek  




            Centrale","20,00 mln €",AC Milan
Kevin Zeroli,"Kevin Zeroli            




            Centrale","3,50 mln €",AC Milan
Rafael Leão,"Rafael Leão  




            Ala sinistra","75,00 mln €",AC Milan
Noah Okafor,"Noah Okafor            




            Ala sinistra","15,00 mln €",AC Milan
Christian Pulisic,"Christian Pulisic            




            Ala destra","50,00 mln €",AC Milan
Samuel Chukwueze,"Samuel Chukwueze  




            Ala destra","18,00 mln €",AC Milan
Tammy Abraham,"Tammy Abraham            




            Punta centrale","20,00 mln €",AC Milan
Álvaro Morata,"Álvaro Morata            




            Punta centrale","13,00 mln €",AC Milan
Luka Jović,"Luka Jović            




            Punta centrale","4,00 mln €",AC Milan
Marco Carnesecchi,"Marco Carnesecchi            




            Portiere","20,00 mln €",Atalanta
Rui Patrício,"Rui Patrício            




            Portiere","1,00 mln €",Atalanta
Francesco Rossi,"Francesco Rossi            




            Portiere",100 mila €,Atalanta
Giorgio Scalvini,"Giorgio Scalvini            




            Difensore centrale","45,00 mln €",Atalanta
Odilon Kossounou,"Odilon Kossounou            




            Difensore centrale","30,00 mln €",Atalanta
Isak Hien,"Isak Hien            




            Difensore centrale","30,00 mln €",Atalanta
Sead Kolasinac,"Sead Kolasinac            




            Difensore centrale","10,00 mln €",Atalanta
Ben Godfrey,"Ben Godfrey            




            Difensore centrale","8,00 mln €",Atalanta
Berat Djimsiti,"Berat Djimsiti            




            Difensore centrale","8,00 mln €",Atalanta
Rafael Tolói,"Rafael Tolói  




            Difensore centrale","1,50 mln €",Atalanta
Marten de Roon,"Marten de Roon            




            Mediano","7,00 mln €",Atalanta
Ibrahim Sulemana,"Ibrahim Sulemana            




            Mediano","6,00 mln €",Atalanta
Éderson,"Éderson            




            Centrale","50,00 mln €",Atalanta
Lazar Samardžić,"Lazar Samardžić            




            Centrale","20,00 mln €",Atalanta
Mario Pasalic,"Mario Pasalic            




            Centrale","13,00 mln €",Atalanta
Marco Brescianini,"Marco Brescianini            




            Centrale","8,00 mln €",Atalanta
Raoul Bellanova,"Raoul Bellanova            




            Centrocampista di destra","22,00 mln €",Atalanta
Davide Zappacosta,"Davide Zappacosta            




            Centrocampista di destra","6,00 mln €",Atalanta
Marco Palestra,"Marco Palestra            




            Centrocampista di destra","3,00 mln €",Atalanta
Juan Cuadrado,"Juan Cuadrado  




            Centrocampista di destra","1,00 mln €",Atalanta
Matteo Ruggeri,"Matteo Ruggeri            




            Centrocampista di sinistra","20,00 mln €",Atalanta
Charles De Ketelaere,"Charles De Ketelaere            




            Trequartista","38,00 mln €",Atalanta
Nicolò Zaniolo,"Nicolò Zaniolo            




            Trequartista","18,00 mln €",Atalanta
Ademola Lookman,"Ademola Lookman            




            Seconda punta","55,00 mln €",Atalanta
Mateo Retegui,"Mateo Retegui  




            Punta centrale","35,00 mln €",Atalanta
Gianluca Scamacca,"Gianluca Scamacca  




            Punta centrale","30,00 mln €",Atalanta
Alex Meret,"Alex Meret            




            Portiere","12,00 mln €",SSC Napoli
Elia Caprile,"Elia Caprile            




            Portiere","6,00 mln €",SSC Napoli
Nikita Contini,"Nikita Contini            




            Portiere",400 mila €,SSC Napoli
Claudio Turi,"Claudio Turi            




            Portiere",150 mila €,SSC Napoli
Alessandro Buongiorno,"Alessandro Buongiorno  




            Difensore centrale","45,00 mln €",SSC Napoli
Amir Rrahmani,"Amir Rrahmani            




            Difensore centrale","12,00 mln €",SSC Napoli
Rafa Marín,"Rafa Marín            




            Difensore centrale","9,00 mln €",SSC Napoli
Juan Jesus,"Juan Jesus            




            Difensore centrale","1,50 mln €",SSC Napoli
Mathías Olivera,"Mathías Olivera            




            Terzino sinistro","18,00 mln €",SSC Napoli
Leonardo Spinazzola,"Leonardo Spinazzola            




            Terzino sinistro","2,50 mln €",SSC Napoli
Giovanni Di Lorenzo,"Giovanni Di Lorenzo  




            Terzino destro","15,00 mln €",SSC Napoli
Pasquale Mazzocchi,"Pasquale Mazzocchi            




            Terzino destro","3,00 mln €",SSC Napoli
Stanislav Lobotka,"Stanislav Lobotka            




            Mediano","28,00 mln €",SSC Napoli
Billy Gilmour,"Billy Gilmour            




            Mediano","16,00 mln €",SSC Napoli
Scott McTominay,"Scott McTominay            




            Centrale","40,00 mln €",SSC Napoli
Frank Anguissa,"Frank Anguissa            




            Centrale","27,00 mln €",SSC Napoli
Michael Folorunsho,"Michael Folorunsho            




            Centrale","7,00 mln €",SSC Napoli
Khvicha Kvaratskhelia,"Khvicha Kvaratskhelia            




            Ala sinistra","85,00 mln €",SSC Napoli
Alessio Zerbin,"Alessio Zerbin            




            Ala sinistra","3,50 mln €",SSC Napoli
David Neres,"David Neres            




            Ala destra","28,00 mln €",SSC Napoli
Cyril Ngonge,"Cyril Ngonge            




            Ala destra","12,00 mln €",SSC Napoli
Matteo Politano,"Matteo Politano            




            Ala destra","10,00 mln €",SSC Napoli
Giacomo Raspadori,"Giacomo Raspadori            




            Seconda punta","15,00 mln €",SSC Napoli
Romelu Lukaku,"Romelu Lukaku            




            Punta centrale","25,00 mln €",SSC Napoli
Giovanni Simeone,"Giovanni Simeone            




            Punta centrale","10,00 mln €",SSC Napoli
Mile Svilar,"Mile Svilar            




            Portiere","14,00 mln €",AS Roma
Mathew Ryan,"Mathew Ryan            




            Portiere","2,50 mln €",AS Roma
Renato Marin,"Renato Marin            




            Portiere",500 mila €,AS Roma
Evan Ndicka,"Evan Ndicka            




            Difensore centrale","25,00 mln €",AS Roma
Gianluca Mancini,"Gianluca Mancini            




            Difensore centrale","18,00 mln €",AS Roma
Mario Hermoso,"Mario Hermoso            




            Difensore centrale","10,00 mln €",AS Roma
Mats Hummels,"Mats Hummels            




            Difensore centrale","3,50 mln €",AS Roma
Angeliño,"Angeliño            




            Terzino sinistro","8,00 mln €",AS Roma
Samuel Dahl,"Samuel Dahl            




            Terzino sinistro","4,00 mln €",AS Roma
Zeki Çelik,"Zeki Çelik            




            Terzino destro","5,00 mln €",AS Roma
Saud Abdulhamid,"Saud Abdulhamid            




            Terzino destro","4,00 mln €",AS Roma
Buba Sangaré,"Buba Sangaré            




            Terzino destro","1,00 mln €",AS Roma
Bryan Cristante,"Bryan Cristante  




            Mediano","12,00 mln €",AS Roma
Leandro Paredes,"Leandro Paredes            




            Mediano","5,00 mln €",AS Roma
Manu Koné,"Manu Koné            




            Centrale","26,00 mln €",AS Roma
Enzo Le Fée,"Enzo Le Fée            




            Centrale","18,00 mln €",AS Roma
Niccolò Pisilli,"Niccolò Pisilli            




            Centrale","12,00 mln €",AS Roma
Nicola Zalewski,"Nicola Zalewski            




            Centrocampista di sinistra","10,00 mln €",AS Roma
Lorenzo Pellegrini,"Lorenzo Pellegrini  




            Trequartista","14,00 mln €",AS Roma
Tommaso Baldanzi,"Tommaso Baldanzi            




            Trequartista","14,00 mln €",AS Roma
Stephan El Shaarawy,"Stephan El Shaarawy            




            Ala sinistra","5,00 mln €",AS Roma
Matías Soulé,"Matías Soulé            




            Ala destra","22,00 mln €",AS Roma
Alexis Saelemaekers,"Alexis Saelemaekers            




            Ala destra","12,00 mln €",AS Roma
Paulo Dybala,"Paulo Dybala            




            Seconda punta","8,00 mln €",AS Roma
Artem Dovbyk,"Artem Dovbyk            




            Punta centrale","30,00 mln €",AS Roma
Eldor Shomurodov,"Eldor Shomurodov            




            Punta centrale","4,00 mln €",AS Roma
David de Gea,"David de Gea            




            Portiere","5,00 mln €",ACF Fiorentina
Tommaso Martinelli,"Tommaso Martinelli            




            Portiere","1,80 mln €",ACF Fiorentina
Pietro Terracciano,"Pietro Terracciano            




            Portiere","1,50 mln €",ACF Fiorentina
Oliver Christensen,"Oliver Christensen            




            Portiere","1,50 mln €",ACF Fiorentina
Pietro Comuzzo,"Pietro Comuzzo            




            Difensore centrale","15,00 mln €",ACF Fiorentina
Luca Ranieri,"Luca Ranieri            




            Difensore centrale","12,00 mln €",ACF Fiorentina
Marin Pongračić,"Marin Pongračić            




            Difensore centrale","10,00 mln €",ACF Fiorentina
Lucas Martínez Quarta,"Lucas Martínez Quarta            




            Difensore centrale","10,00 mln €",ACF Fiorentina
Nicolás Valentini,"Nicolás Valentini            




            Difensore centrale","4,50 mln €",ACF Fiorentina
Matías Moreno,"Matías Moreno            




            Difensore centrale","4,00 mln €",ACF Fiorentina
Robin Gosens,"Robin Gosens            




            Terzino sinistro","8,00 mln €",ACF Fiorentina
Fabiano Parisi,"Fabiano Parisi            




            Terzino sinistro","5,00 mln €",ACF Fiorentina
Cristiano Biraghi,"Cristiano Biraghi  




            Terzino sinistro","2,00 mln €",ACF Fiorentina
Dodô,"Dodô            




            Terzino destro","22,00 mln €",ACF Fiorentina
Michael Kayode,"Michael Kayode            




            Terzino destro","18,00 mln €",ACF Fiorentina
Yacine Adli,"Yacine Adli            




            Mediano","15,00 mln €",ACF Fiorentina
Rolando Mandragora,"Rolando Mandragora            




            Mediano","8,00 mln €",ACF Fiorentina
Danilo Cataldi,"Danilo Cataldi            




            Mediano","4,00 mln €",ACF Fiorentina
Edoardo Bove,"Edoardo Bove  




            Centrale","14,00 mln €",ACF Fiorentina
Amir Richardson,"Amir Richardson            




            Centrale","9,00 mln €",ACF Fiorentina
Lucas Beltrán,"Lucas Beltrán            




            Trequartista","18,00 mln €",ACF Fiorentina
Andrea Colpani,"Andrea Colpani            




            Trequartista","16,00 mln €",ACF Fiorentina
Christian Kouamé,"Christian Kouamé            




            Ala sinistra","7,50 mln €",ACF Fiorentina
Riccardo Sottil,"Riccardo Sottil            




            Ala sinistra","6,00 mln €",ACF Fiorentina
Jonathan Ikoné,"Jonathan Ikoné            




            Ala destra","8,00 mln €",ACF Fiorentina
Albert Gudmundsson,"Albert Gudmundsson            




            Seconda punta","28,00 mln €",ACF Fiorentina
Moise Kean,"Moise Kean            




            Punta centrale","30,00 mln €",ACF Fiorentina
Lukasz Skorupski,"Lukasz Skorupski            




            Portiere","2,50 mln €",Bologna FC
Federico Ravaglia,"Federico Ravaglia            




            Portiere","1,00 mln €",Bologna FC
Nicola Bagnolini,"Nicola Bagnolini            




            Portiere",200 mila €,Bologna FC
Sam Beukema,"Sam Beukema            




            Difensore centrale","22,00 mln €",Bologna FC
Jhon Lucumí,"Jhon Lucumí            




            Difensore centrale","18,00 mln €",Bologna FC
Nicolò Casale,"Nicolò Casale            




            Difensore centrale","7,00 mln €",Bologna FC
Martin Erlić,"Martin Erlić            




            Difensore centrale","5,00 mln €",Bologna FC
Joaquín Sosa,"Joaquín Sosa            




            Difensore centrale","1,20 mln €",Bologna FC
Juan Miranda,"Juan Miranda            




            Terzino sinistro","11,00 mln €",Bologna FC
Tommaso Corazza,"Tommaso Corazza            




            Terzino sinistro","1,00 mln €",Bologna FC
Charalampos Lykogiannis,"Charalampos Lykogiannis            




            Terzino sinistro","1,00 mln €",Bologna FC
Stefan Posch,"Stefan Posch  




            Terzino destro","10,00 mln €",Bologna FC
Emil Holm,"Emil Holm            




            Terzino destro","7,00 mln €",Bologna FC
Lorenzo De Silvestri,"Lorenzo De Silvestri            




            Terzino destro",400 mila €,Bologna FC
Nikola Moro,"Nikola Moro            




            Mediano","5,00 mln €",Bologna FC
Oussama El Azzouzi,"Oussama El Azzouzi            




            Mediano","2,00 mln €",Bologna FC
Tommaso Pobega,"Tommaso Pobega  




            Centrale","10,00 mln €",Bologna FC
Michel Aebischer,"Michel Aebischer            




            Centrale","10,00 mln €",Bologna FC
Kacper Urbanski,"Kacper Urbanski            




            Centrale","7,00 mln €",Bologna FC
Remo Freuler,"Remo Freuler            




            Centrale","6,50 mln €",Bologna FC
Niklas Pyyhtiä,"Niklas Pyyhtiä            




            Centrale","1,00 mln €",Bologna FC
Andri Fannar Baldursson,"Andri Fannar Baldursson            




            Centrale",900 mila €,Bologna FC
Lewis Ferguson,"Lewis Ferguson  




            Trequartista","22,00 mln €",Bologna FC
Giovanni Fabbian,"Giovanni Fabbian            




            Trequartista","13,00 mln €",Bologna FC
Samuel Iling-Junior,"Samuel Iling-Junior            




            Ala sinistra","11,00 mln €",Bologna FC
Jesper Karlsson,"Jesper Karlsson            




            Ala sinistra","6,00 mln €",Bologna FC
Benja Domínguez,"Benja Domínguez            




            Ala sinistra","6,00 mln €",Bologna FC
Dan Ndoye,"Dan Ndoye            




            Ala destra","25,00 mln €",Bologna FC
Riccardo Orsolini,"Riccardo Orsolini            




            Ala destra","16,00 mln €",Bologna FC
Nicolò Cambiaghi,"Nicolò Cambiaghi  




            Seconda punta","7,00 mln €",Bologna FC
Santiago Castro,"Santiago Castro            




            Punta centrale","25,00 mln €",Bologna FC
Thijs Dallinga,"Thijs Dallinga            




            Punta centrale","12,00 mln €",Bologna FC
Jens Odgaard,"Jens Odgaard            




            Punta centrale","7,00 mln €",Bologna FC
Ivan Provedel,"Ivan Provedel            




            Portiere","14,00 mln €",SS Lazio
Christos Mandas,"Christos Mandas            




            Portiere","5,00 mln €",SS Lazio
Davide Renzetti,"Davide Renzetti            




            Portiere",100 mila €,SS Lazio
Alessio Furlanetto,"Alessio Furlanetto            




            Portiere",50 mila €,SS Lazio
Mario Gila,"Mario Gila            




            Difensore centrale","28,00 mln €",SS Lazio
Alessio Romagnoli,"Alessio Romagnoli            




            Difensore centrale","12,00 mln €",SS Lazio
Samuel Gigot,"Samuel Gigot  




            Difensore centrale","4,00 mln €",SS Lazio
Patric,"Patric  




            Difensore centrale","4,00 mln €",SS Lazio
Filipe Bordon,"Filipe Bordon            




            Difensore centrale",500 mila €,SS Lazio
Nuno Tavares,"Nuno Tavares            




            Terzino sinistro","25,00 mln €",SS Lazio
Luca Pellegrini,"Luca Pellegrini            




            Terzino sinistro","3,50 mln €",SS Lazio
Adam Marusic,"Adam Marusic            




            Terzino destro","4,00 mln €",SS Lazio
Elseid Hysaj,"Elseid Hysaj            




            Terzino destro","2,00 mln €",SS Lazio
Nicolò Rovella,"Nicolò Rovella            




            Mediano","25,00 mln €",SS Lazio
Mattéo Guendouzi,"Mattéo Guendouzi            




            Centrale","32,00 mln €",SS Lazio
Gaetano Castrovilli,"Gaetano Castrovilli            




            Centrale","5,00 mln €",SS Lazio
Matías Vecino,"Matías Vecino  




            Centrale","2,50 mln €",SS Lazio
Toma Bašić,"Toma Bašić            




            Centrale","1,00 mln €",SS Lazio
Manuel Lazzari,"Manuel Lazzari  




            Centrocampista di destra","4,00 mln €",SS Lazio
Fisayo Dele-Bashiru,"Fisayo Dele-Bashiru            




            Trequartista","6,00 mln €",SS Lazio
Cristo Muñoz,"Cristo Muñoz            




            Trequartista",250 mila €,SS Lazio
André Anderson,"André Anderson            




            Trequartista",200 mila €,SS Lazio
Mattia Zaccagni,"Mattia Zaccagni  




            Ala sinistra","20,00 mln €",SS Lazio
Gustav Isaksen,"Gustav Isaksen            




            Ala destra","15,00 mln €",SS Lazio
Tijjani Noslin,"Tijjani Noslin  




            Ala destra","12,00 mln €",SS Lazio
Loum Tchaouna,"Loum Tchaouna            




            Ala destra","10,00 mln €",SS Lazio
Pedro,"Pedro  




            Ala destra","1,00 mln €",SS Lazio
Taty Castellanos,"Taty Castellanos            




            Punta centrale","20,00 mln €",SS Lazio
Boulaye Dia,"Boulaye Dia            




            Punta centrale","15,00 mln €",SS Lazio
Vanja Milinković-Savić,"Vanja Milinković-Savić            




            Portiere","8,00 mln €",Torino FC
Alberto Paleari,"Alberto Paleari            




            Portiere",500 mila €,Torino FC
Antonio Donnarumma,"Antonio Donnarumma            




            Portiere",300 mila €,Torino FC
Perr Schuurs,"Perr Schuurs  




            Difensore centrale","15,00 mln €",Torino FC
Saúl Coco,"Saúl Coco            




            Difensore centrale","14,00 mln €",Torino FC
Sebastian Walukiewicz,"Sebastian Walukiewicz  




            Difensore centrale","5,00 mln €",Torino FC
Guillermo Maripán,"Guillermo Maripán            




            Difensore centrale","4,00 mln €",Torino FC
Adam Masina,"Adam Masina            




            Difensore centrale","1,50 mln €",Torino FC
Côme Bianay Balcot,"Côme Bianay Balcot            




            Difensore centrale",200 mila €,Torino FC
Mërgim Vojvoda,"Mërgim Vojvoda            




            Terzino destro","3,00 mln €",Torino FC
Samuele Ricci,"Samuele Ricci            




            Mediano","28,00 mln €",Torino FC
Adrien Tamèze,"Adrien Tamèze            




            Mediano","3,50 mln €",Torino FC
Ivan Ilić,"Ivan Ilić            




            Centrale","18,00 mln €",Torino FC
Gvidas Gineitis,"Gvidas Gineitis            




            Centrale","4,00 mln €",Torino FC
Karol Linetty,"Karol Linetty            




            Centrale","3,50 mln €",Torino FC
Emirhan İlkhan,"Emirhan İlkhan  




            Centrale","2,50 mln €",Torino FC
Aaron Ciammaglichella,"Aaron Ciammaglichella            




            Centrale","1,00 mln €",Torino FC
Marcus Pedersen,"Marcus Pedersen            




            Centrocampista di destra","4,50 mln €",Torino FC
Ali Dembélé,"Ali Dembélé            




            Centrocampista di destra",800 mila €,Torino FC
Brian Bayeye,"Brian Bayeye            




            Centrocampista di destra",400 mila €,Torino FC
Borna Sosa,"Borna Sosa            




            Centrocampista di sinistra","6,00 mln €",Torino FC
Valentino Lazaro,"Valentino Lazaro            




            Centrocampista di sinistra","3,50 mln €",Torino FC
Nikola Vlašić,"Nikola Vlašić            




            Trequartista","7,00 mln €",Torino FC
Alieu Njie,"Alieu Njie            




            Ala sinistra","2,50 mln €",Torino FC
Yann Karamoh,"Yann Karamoh            




            Ala sinistra","1,80 mln €",Torino FC
Zanos Savva,"Zanos Savva  




            Ala destra","1,00 mln €",Torino FC
Ché Adams,"Ché Adams            




            Punta centrale","15,00 mln €",Torino FC
Antonio Sanabria,"Antonio Sanabria            




            Punta centrale","6,00 mln €",Torino FC
Duván Zapata,"Duván Zapata   




            Punta centrale","4,00 mln €",Torino FC
Maduka Okoye,"Maduka Okoye  




            Portiere","7,50 mln €",Udinese Calcio
Răzvan Sava,"Răzvan Sava            




            Portiere","2,00 mln €",Udinese Calcio
Daniele Padelli,"Daniele Padelli            




            Portiere",150 mila €,Udinese Calcio
Edoardo Piana,"Edoardo Piana            




            Portiere",50 mila €,Udinese Calcio
Jaka Bijol,"Jaka Bijol            




            Difensore centrale","18,00 mln €",Udinese Calcio
Oumar Solet,"Oumar Solet            




            Difensore centrale","8,00 mln €",Udinese Calcio
Isaak Touré,"Isaak Touré            




            Difensore centrale","8,00 mln €",Udinese Calcio
Thomas Kristensen,"Thomas Kristensen  




            Difensore centrale","4,50 mln €",Udinese Calcio
Lautaro Giannetti,"Lautaro Giannetti            




            Difensore centrale","2,50 mln €",Udinese Calcio
Enzo Ebosse,"Enzo Ebosse            




            Difensore centrale","2,00 mln €",Udinese Calcio
Matteo Palma,"Matteo Palma            




            Difensore centrale","1,00 mln €",Udinese Calcio
Christian Kabasele,"Christian Kabasele            




            Difensore centrale","1,00 mln €",Udinese Calcio
James Abankwah,"James Abankwah            




            Difensore centrale",800 mila €,Udinese Calcio
Axel Guessand,"Axel Guessand            




            Difensore centrale",500 mila €,Udinese Calcio
Jordan Zemura,"Jordan Zemura            




            Terzino sinistro","5,00 mln €",Udinese Calcio
Hassane Kamara,"Hassane Kamara            




            Terzino sinistro","3,50 mln €",Udinese Calcio
Kingsley Ehizibue,"Kingsley Ehizibue            




            Terzino destro","3,00 mln €",Udinese Calcio
Jesper Karlström,"Jesper Karlström            




            Mediano","2,50 mln €",Udinese Calcio
Arthur Atta,"Arthur Atta            




            Mediano","1,00 mln €",Udinese Calcio
Sandi Lovrić,"Sandi Lovrić            




            Centrale","8,00 mln €",Udinese Calcio
Martín Payero,"Martín Payero            




            Centrale","4,50 mln €",Udinese Calcio
Oier Zarraga,"Oier Zarraga            




            Centrale","2,00 mln €",Udinese Calcio
Rui Modesto,"Rui Modesto            




            Centrocampista di destra","1,80 mln €",Udinese Calcio
Simone Pafundi,"Simone Pafundi            




            Trequartista","6,00 mln €",Udinese Calcio
Jurgen Ekkelenkamp,"Jurgen Ekkelenkamp            




            Trequartista","5,50 mln €",Udinese Calcio
David Pejičić,"David Pejičić            




            Trequartista","1,00 mln €",Udinese Calcio
Florian Thauvin,"Florian Thauvin  




            Ala destra","5,00 mln €",Udinese Calcio
Lorenzo Lucca,"Lorenzo Lucca            




            Punta centrale","18,00 mln €",Udinese Calcio
Brenner,"Brenner            




            Punta centrale","8,00 mln €",Udinese Calcio
Damián Pizarro,"Damián Pizarro            




            Punta centrale","6,50 mln €",Udinese Calcio
Keinan Davis,"Keinan Davis            




            Punta centrale","4,00 mln €",Udinese Calcio
Alexis Sánchez,"Alexis Sánchez            




            Punta centrale","2,00 mln €",Udinese Calcio
Iker Bravo,"Iker Bravo            




            Punta centrale","1,50 mln €",Udinese Calcio
Gerard Deulofeu,"Gerard Deulofeu  




            Punta centrale","1,00 mln €",Udinese Calcio
Pierluigi Gollini,"Pierluigi Gollini            




            Portiere","2,50 mln €",Genoa CFC
Nicola Leali,"Nicola Leali            




            Portiere",800 mila €,Genoa CFC
Franz Stolz,"Franz Stolz            




            Portiere",200 mila €,Genoa CFC
Daniele Sommariva,"Daniele Sommariva            




            Portiere",100 mila €,Genoa CFC
Koni De Winter,"Koni De Winter            




            Difensore centrale","12,00 mln €",Genoa CFC
Johan Vásquez,"Johan Vásquez            




            Difensore centrale","10,00 mln €",Genoa CFC
Alan Matturro,"Alan Matturro  




            Difensore centrale","8,00 mln €",Genoa CFC
Mattia Bani,"Mattia Bani            




            Difensore centrale","2,00 mln €",Genoa CFC
Alessandro Vogliacco,"Alessandro Vogliacco            




            Difensore centrale","2,00 mln €",Genoa CFC
Alessandro Marcandalli,"Alessandro Marcandalli            




            Difensore centrale","2,00 mln €",Genoa CFC
Aarón Martín,"Aarón Martín            




            Terzino sinistro","5,00 mln €",Genoa CFC
Honest Ahanor,"Honest Ahanor  




            Terzino sinistro","3,00 mln €",Genoa CFC
Alessandro Zanoli,"Alessandro Zanoli            




            Terzino destro","6,00 mln €",Genoa CFC
