Name,Role,Market Value,Squadra
Jayden Braaf,"Jayden Braaf            




            Ala sinistra",800 mila €,Hellas Verona
Cyril Ngonge,"Cyril Ngonge            




            Ala destra","12,00 mln €",Hellas Verona
Tijjani Noslin,"Tijjani Noslin  




            Ala destra","10,00 mln €",Hellas Verona
Jordi Mboula,"Jordi Mboula            




            Ala destra","1,20 mln €",Hellas Verona
Elayis Tavsan,"Elayis Tavsan            




            Ala destra","1,00 mln €",Hellas Verona
Yayah Kallon,"Yayah Kallon            




            Ala destra","1,00 mln €",Hellas Verona
Karol Swiderski,"Karol Swiderski            




            Punta centrale","5,00 mln €",Hellas Verona
Federico Bonazzoli,"Federico Bonazzoli            




            Punta centrale","2,50 mln €",Hellas Verona
Thomas Henry,"Thomas Henry            




            Punta centrale","2,00 mln €",Hellas Verona
Siren Diao,"Siren Diao            




            Punta centrale","1,50 mln €",Hellas Verona
Milan Djuric,"Milan Djuric            




            Punta centrale","1,50 mln €",Hellas Verona
Juan Manuel Cruz,"Juan Manuel Cruz            




            Punta centrale",450 mila €,Hellas Verona
Junior Ajayi,"Junior Ajayi            




            Punta centrale",150 mila €,Hellas Verona
Denis Cazzadori,"Denis Cazzadori            




            Punta centrale",125 mila €,Hellas Verona
Alessio Cragno,"Alessio Cragno            




            Portiere","1,50 mln €",US Sassuolo
Andrea Consigli,"Andrea Consigli            




            Portiere",800 mila €,US Sassuolo
Daniel Theiner,"Daniel Theiner            




            Portiere",150 mila €,US Sassuolo
Gianluca Pegolo,"Gianluca Pegolo            




            Portiere",100 mila €,US Sassuolo
Alessandro Scacchetti,"Alessandro Scacchetti            




            Portiere",10 mila €,US Sassuolo
Mattia Viti,"Mattia Viti  




            Difensore centrale","5,00 mln €",US Sassuolo
Marash Kumbulla,"Marash Kumbulla            




            Difensore centrale","4,50 mln €",US Sassuolo
Martin Erlić,"Martin Erlić            




            Difensore centrale","3,00 mln €",US Sassuolo
Ruan,"Ruan            




            Difensore centrale","2,50 mln €",US Sassuolo
Gian Marco Ferrari,"Gian Marco Ferrari            




            Difensore centrale","1,40 mln €",US Sassuolo
Kevin Miranda,"Kevin Miranda            




            Difensore centrale",350 mila €,US Sassuolo
Seb Loeffen,"Seb Loeffen            




            Difensore centrale",150 mila €,US Sassuolo
Matías Viña,"Matías Viña  




            Terzino sinistro","8,00 mln €",US Sassuolo
Josh Doig,"Josh Doig            




            Terzino sinistro","6,00 mln €",US Sassuolo
Matteo Falasca,"Matteo Falasca            




            Terzino sinistro",150 mila €,US Sassuolo
Jeremy Toljan,"Jeremy Toljan            




            Terzino destro","3,50 mln €",US Sassuolo
Filippo Missori,"Filippo Missori            




            Terzino destro","1,50 mln €",US Sassuolo
Yeferson Paz,"Yeferson Paz            




            Terzino destro",500 mila €,US Sassuolo
Maxime Lopez,"Maxime Lopez            




            Mediano","7,50 mln €",US Sassuolo
Daniel Boloca,"Daniel Boloca            




            Mediano","7,00 mln €",US Sassuolo
Luca Lipani,"Luca Lipani            




            Mediano","4,00 mln €",US Sassuolo
Uroš Račić,"Uroš Račić            




            Mediano","2,50 mln €",US Sassuolo
Matheus Henrique,"Matheus Henrique  




            Centrale","8,50 mln €",US Sassuolo
Justin Kumi,"Justin Kumi            




            Centrale",800 mila €,US Sassuolo
Pedro Obiang,"Pedro Obiang            




            Centrale",500 mila €,US Sassuolo
Salim Abubakar,"Salim Abubakar            




            Centrale",25 mila €,US Sassuolo
Marcus Pedersen,"Marcus Pedersen            




            Centrocampista di destra","5,50 mln €",US Sassuolo
Kristian Thorstvedt,"Kristian Thorstvedt            




            Trequartista","8,00 mln €",US Sassuolo
Nedim Bajrami,"Nedim Bajrami            




            Trequartista","4,50 mln €",US Sassuolo
Cristian Volpato,"Cristian Volpato            




            Trequartista","4,50 mln €",US Sassuolo
Armand Laurienté,"Armand Laurienté            




            Ala sinistra","10,00 mln €",US Sassuolo
Emil Konradsen Ceide,"Emil Konradsen Ceide            




            Ala sinistra","2,00 mln €",US Sassuolo
Domenico Berardi,"Domenico Berardi            




            Ala destra","10,00 mln €",US Sassuolo
Samu Castillejo,"Samu Castillejo            




            Ala destra",600 mila €,US Sassuolo
Andrea Pinamonti,"Andrea Pinamonti            




            Punta centrale","15,00 mln €",US Sassuolo
Agustín Álvarez,"Agustín Álvarez            




            Punta centrale","4,50 mln €",US Sassuolo
Samuele Mulattieri,"Samuele Mulattieri            




            Punta centrale","4,00 mln €",US Sassuolo
Grégoire Defrel,"Grégoire Defrel            




            Punta centrale","1,00 mln €",US Sassuolo
Stefano Turati,"Stefano Turati            




            Portiere","7,00 mln €",Frosinone Calcio
Michele Cerofolini,"Michele Cerofolini            




            Portiere",700 mila €,Frosinone Calcio
Michele Avella,"Michele Avella            




            Portiere",250 mila €,Frosinone Calcio
Lorenzo Palmisani,"Lorenzo Palmisani            




            Portiere",200 mila €,Frosinone Calcio
Pierluigi Frattali,"Pierluigi Frattali            




            Portiere",100 mila €,Frosinone Calcio
Caleb Okoli,"Caleb Okoli            




            Difensore centrale","8,00 mln €",Frosinone Calcio
Ilario Monterisi,"Ilario Monterisi            




            Difensore centrale","2,80 mln €",Frosinone Calcio
Kevin Bonifazi,"Kevin Bonifazi            




            Difensore centrale","1,80 mln €",Frosinone Calcio
Simone Romagnoli,"Simone Romagnoli  




            Difensore centrale",800 mila €,Frosinone Calcio
Przemyslaw Szyminski,"Przemyslaw Szyminski            




            Difensore centrale",700 mila €,Frosinone Calcio
Mateus Lusuardi,"Mateus Lusuardi            




            Difensore centrale",300 mila €,Frosinone Calcio
Sergio Kalaj,"Sergio Kalaj            




            Difensore centrale",200 mila €,Frosinone Calcio
Matjaz Kamensek-Pahic,"Matjaz Kamensek-Pahic            




            Difensore centrale",100 mila €,Frosinone Calcio
Daniel Macej,"Daniel Macej            




            Difensore centrale",25 mila €,Frosinone Calcio
Riccardo Marchizza,"Riccardo Marchizza  




            Terzino sinistro","2,50 mln €",Frosinone Calcio
Emanuele Valeri,"Emanuele Valeri            




            Terzino sinistro","2,30 mln €",Frosinone Calcio
Lukas Klitten,"Lukas Klitten            




            Terzino sinistro",350 mila €,Frosinone Calcio
Anthony Oyono,"Anthony Oyono            




            Terzino destro","2,00 mln €",Frosinone Calcio
Pol Lirola,"Pol Lirola  




            Terzino destro","1,80 mln €",Frosinone Calcio
Enzo Barrenechea,"Enzo Barrenechea            




            Mediano","7,50 mln €",Frosinone Calcio
Hamza Haoudi,"Hamza Haoudi            




            Mediano",175 mila €,Frosinone Calcio
Luca Mazzitelli,"Luca Mazzitelli            




            Centrale","4,00 mln €",Frosinone Calcio
Marco Brescianini,"Marco Brescianini            




            Centrale","3,50 mln €",Frosinone Calcio
Abdou Harroui,"Abdou Harroui  




            Centrale","2,70 mln €",Frosinone Calcio
Mehdi Bourabia,"Mehdi Bourabia  




            Centrale","1,00 mln €",Frosinone Calcio
Karlo Lulic,"Karlo Lulic            




            Centrale",450 mila €,Frosinone Calcio
Kalifa Kujabi,"Kalifa Kujabi            




            Centrale",75 mila €,Frosinone Calcio
Nadir Zortea,"Nadir Zortea            




            Centrocampista di destra","3,00 mln €",Frosinone Calcio
Arijon Ibrahimovic,"Arijon Ibrahimovic            




            Trequartista","4,00 mln €",Frosinone Calcio
Reinier,"Reinier            




            Trequartista","3,50 mln €",Frosinone Calcio
Luca Garritano,"Luca Garritano            




            Trequartista","1,20 mln €",Frosinone Calcio
Francesco Gelli,"Francesco Gelli            




            Trequartista","1,00 mln €",Frosinone Calcio
İsak Vural,"İsak Vural            




            Trequartista",200 mila €,Frosinone Calcio
Giuseppe Caso,"Giuseppe Caso            




            Ala sinistra","1,50 mln €",Frosinone Calcio
Jaime Báez,"Jaime Báez            




            Ala sinistra",900 mila €,Frosinone Calcio
Giorgi Kvernadze,"Giorgi Kvernadze            




            Ala sinistra",800 mila €,Frosinone Calcio
Soufiane Bidaoui,"Soufiane Bidaoui            




            Ala sinistra",200 mila €,Frosinone Calcio
Matías Soulé,"Matías Soulé            




            Ala destra","25,00 mln €",Frosinone Calcio
Demba Seck,"Demba Seck            




            Ala destra","2,00 mln €",Frosinone Calcio
Luigi Canotto,"Luigi Canotto            




            Ala destra",600 mila €,Frosinone Calcio
Farès Ghedjemis,"Farès Ghedjemis            




            Ala destra",600 mila €,Frosinone Calcio
Walid Cheddira,"Walid Cheddira            




            Punta centrale","6,00 mln €",Frosinone Calcio
Kaio Jorge,"Kaio Jorge  




            Punta centrale","4,00 mln €",Frosinone Calcio
Gennaro Borrelli,"Gennaro Borrelli            




            Punta centrale","1,40 mln €",Frosinone Calcio
Marvin Cuni,"Marvin Cuni            




            Punta centrale",900 mila €,Frosinone Calcio
Wladimiro Falcone,"Wladimiro Falcone            




            Portiere","5,00 mln €",US Lecce
Federico Brancolini,"Federico Brancolini            




            Portiere",200 mila €,US Lecce
Alexandru Borbei,"Alexandru Borbei            




            Portiere",150 mila €,US Lecce
Jasper Samooja,"Jasper Samooja            




            Portiere",75 mila €,US Lecce
Marin Pongračić,"Marin Pongračić            




            Difensore centrale","7,00 mln €",US Lecce
Federico Baschirotto,"Federico Baschirotto  




            Difensore centrale","6,00 mln €",US Lecce
Ahmed Touba,"Ahmed Touba            




            Difensore centrale","1,60 mln €",US Lecce
Kastriot Dermaku,"Kastriot Dermaku            




            Difensore centrale",250 mila €,US Lecce
Sebastian Esposito,"Sebastian Esposito            




            Difensore centrale",200 mila €,US Lecce
Zinedin Smajlović,"Zinedin Smajlović            




            Difensore centrale",100 mila €,US Lecce
Antonino Gallo,"Antonino Gallo            




            Terzino sinistro","4,50 mln €",US Lecce
Valentin Gendrey,"Valentin Gendrey            




            Terzino destro","7,00 mln €",US Lecce
Lorenzo Venuti,"Lorenzo Venuti            




            Terzino destro","1,20 mln €",US Lecce
Mats Lemmens,"Mats Lemmens            




            Terzino destro",150 mila €,US Lecce
Ylber Ramadani,"Ylber Ramadani            




            Mediano","4,00 mln €",US Lecce
Alexis Blin,"Alexis Blin  




            Mediano","3,00 mln €",US Lecce
Giacomo Faticanti,"Giacomo Faticanti            




            Mediano",800 mila €,US Lecce
Youssef Maleh,"Youssef Maleh            




            Centrale","4,50 mln €",US Lecce
Joan González,"Joan González  




            Centrale","4,50 mln €",US Lecce
Mohamed Kaba,"Mohamed Kaba            




            Centrale","3,50 mln €",US Lecce
Hamza Rafia,"Hamza Rafia            




            Centrale","1,70 mln €",US Lecce
Daniel Samek,"Daniel Samek            




            Centrale","1,20 mln €",US Lecce
Thórir Jóhann Helgason,"Thórir Jóhann Helgason            




            Centrale","1,00 mln €",US Lecce
Medon Berisha,"Medon Berisha  




            Centrale","1,00 mln €",US Lecce
Rémi Oudin,"Rémi Oudin            




            Trequartista","3,50 mln €",US Lecce
Marcin Listkowski,"Marcin Listkowski            




            Trequartista",200 mila €,US Lecce
Lameck Banda,"Lameck Banda  




            Ala sinistra","6,00 mln €",US Lecce
Federico Di Francesco,"Federico Di Francesco            




            Ala sinistra","1,40 mln €",US Lecce
Nicola Sansone,"Nicola Sansone            




            Ala sinistra","1,00 mln €",US Lecce
Patrick Dorgu,"Patrick Dorgu            




            Ala destra","12,00 mln €",US Lecce
Gabriel Strefezza,"Gabriel Strefezza            




            Ala destra","6,00 mln €",US Lecce
Pontus Almqvist,"Pontus Almqvist            




            Ala destra","3,00 mln €",US Lecce
Santiago Pierotti,"Santiago Pierotti            




            Ala destra","2,50 mln €",US Lecce
Jeppe Corfitzen,"Jeppe Corfitzen            




            Ala destra",400 mila €,US Lecce
Nikola Krstović,"Nikola Krstović            




            Punta centrale","6,00 mln €",US Lecce
Roberto Piccoli,"Roberto Piccoli            




            Punta centrale","4,00 mln €",US Lecce
Assan Ceesay,"Assan Ceesay            




            Punta centrale","2,00 mln €",US Lecce
Rareș Burnete,"Rareș Burnete            




            Punta centrale",700 mila €,US Lecce
Joel Voelkerling Persson,"Joel Voelkerling Persson            




            Punta centrale",400 mila €,US Lecce
Elia Caprile,"Elia Caprile            




            Portiere","6,00 mln €",Empoli FC
Samuele Perisan,"Samuele Perisan            




            Portiere",600 mila €,Empoli FC
Etrit Berisha,"Etrit Berisha            




            Portiere",500 mila €,Empoli FC
Lovro Stubljar,"Lovro Stubljar            




            Portiere",300 mila €,Empoli FC
Jacopo Seghetti,"Jacopo Seghetti            




            Portiere",150 mila €,Empoli FC
Filippo Vertua,"Filippo Vertua            




            Portiere",-,Empoli FC
Sebastiano Luperto,"Sebastiano Luperto            




            Difensore centrale","3,50 mln €",Empoli FC
Ardian Ismajli,"Ardian Ismajli            




            Difensore centrale","3,00 mln €",Empoli FC
Sebastian Walukiewicz,"Sebastian Walukiewicz  




            Difensore centrale","2,50 mln €",Empoli FC
Gabriele Guarino,"Gabriele Guarino            




            Difensore centrale","1,00 mln €",Empoli FC
Saba Goglichidze,"Saba Goglichidze            




            Difensore centrale",300 mila €,Empoli FC
Lorenzo Tonelli,"Lorenzo Tonelli            




            Difensore centrale",200 mila €,Empoli FC
Gabriele Indragoli,"Gabriele Indragoli            




            Difensore centrale",200 mila €,Empoli FC
Luca Marianucci,"Luca Marianucci            




            Difensore centrale",175 mila €,Empoli FC
Giuseppe Pezzella,"Giuseppe Pezzella            




            Terzino sinistro","2,20 mln €",Empoli FC
Liberato Cacace,"Liberato Cacace            




            Terzino sinistro","2,00 mln €",Empoli FC
Tyronne Ebuehi,"Tyronne Ebuehi            




            Terzino destro","2,00 mln €",Empoli FC
Petar Stojanović,"Petar Stojanović            




            Terzino destro","1,30 mln €",Empoli FC
Bartosz Bereszyński,"Bartosz Bereszyński  




            Terzino destro","1,30 mln €",Empoli FC
Răzvan Marin,"Răzvan Marin            




            Mediano","2,70 mln €",Empoli FC
Alberto Grassi,"Alberto Grassi            




            Mediano","1,80 mln €",Empoli FC
Iwo Kaczmarski,"Iwo Kaczmarski            




            Mediano",300 mila €,Empoli FC
Jacopo Fazzini,"Jacopo Fazzini            




            Centrale","6,00 mln €",Empoli FC
Youssef Maleh,"Youssef Maleh            




            Centrale","4,50 mln €",Empoli FC
Filippo Ranocchia,"Filippo Ranocchia            




            Centrale","4,00 mln €",Empoli FC
Szymon Żurkowski,"Szymon Żurkowski            




            Centrale","2,50 mln €",Empoli FC
Simone Bastoni,"Simone Bastoni            




            Centrale","1,50 mln €",Empoli FC
Liam Henderson,"Liam Henderson            




            Centrale","1,40 mln €",Empoli FC
Luca Belardinelli,"Luca Belardinelli            




            Centrale","1,00 mln €",Empoli FC
Nicolas Haas,"Nicolas Haas  




            Centrale",700 mila €,Empoli FC
Giovanni Crociata,"Giovanni Crociata            




            Centrale",600 mila €,Empoli FC
Lorenzo Ignacchiti,"Lorenzo Ignacchiti  




            Centrale",600 mila €,Empoli FC
Tommaso Baldanzi,"Tommaso Baldanzi            




            Trequartista","15,00 mln €",Empoli FC
Daniel Maldini,"Daniel Maldini            




            Trequartista","4,50 mln €",Empoli FC
Viktor Kovalenko,"Viktor Kovalenko            




            Trequartista","1,50 mln €",Empoli FC
Andrea Sodero,"Andrea Sodero            




            Trequartista",300 mila €,Empoli FC
Emmanuel Gyasi,"Emmanuel Gyasi            




            Ala sinistra","1,80 mln €",Empoli FC
Emmanuel Ekong,"Emmanuel Ekong            




            Ala sinistra",500 mila €,Empoli FC
Matteo Cancellieri,"Matteo Cancellieri            




            Ala destra","4,80 mln €",Empoli FC
Nicolò Cambiaghi,"Nicolò Cambiaghi  




            Seconda punta","7,00 mln €",Empoli FC
Roberto Piccoli,"Roberto Piccoli            




            Punta centrale","4,00 mln €",Empoli FC
M'Baye Niang,"M'Baye Niang            




            Punta centrale","2,50 mln €",Empoli FC
Stiven Shpendi,"Stiven Shpendi            




            Punta centrale","2,00 mln €",Empoli FC
Alberto Cerri,"Alberto Cerri            




            Punta centrale","1,70 mln €",Empoli FC
Francesco Caputo,"Francesco Caputo            




            Punta centrale","1,00 mln €",Empoli FC
Mattia Destro,"Mattia Destro            




            Punta centrale",500 mila €,Empoli FC
Giacomo Corona,"Giacomo Corona            




            Punta centrale",400 mila €,Empoli FC
Guillermo Ochoa,"Guillermo Ochoa  




            Portiere","1,00 mln €",US Salernitana
Benoît Costil,"Benoît Costil            




            Portiere",600 mila €,US Salernitana
Vincenzo Fiorillo,"Vincenzo Fiorillo            




            Portiere",150 mila €,US Salernitana
Pasquale Allocca,"Pasquale Allocca            




            Portiere",100 mila €,US Salernitana
Gregorio Salvati,"Gregorio Salvati            




            Portiere",50 mila €,US Salernitana
Flavius Daniliuc,"Flavius Daniliuc            




            Difensore centrale","6,00 mln €",US Salernitana
Lorenzo Pirola,"Lorenzo Pirola            




            Difensore centrale","5,50 mln €",US Salernitana
Matteo Lovato,"Matteo Lovato            




            Difensore centrale","4,00 mln €",US Salernitana
Marco Pellegrino,"Marco Pellegrino  




            Difensore centrale","3,50 mln €",US Salernitana
Norbert Gyömbér,"Norbert Gyömbér            




            Difensore centrale","1,30 mln €",US Salernitana
Dylan Bronn,"Dylan Bronn            




            Difensore centrale","1,30 mln €",US Salernitana
Konstantinos Manolas,"Konstantinos Manolas            




            Difensore centrale","1,00 mln €",US Salernitana
Triantafyllos Pasalidis,"Triantafyllos Pasalidis            




            Difensore centrale",500 mila €,US Salernitana
Jérôme Boateng,"Jérôme Boateng            




            Difensore centrale",400 mila €,US Salernitana
Federico Fazio,"Federico Fazio            




            Difensore centrale",400 mila €,US Salernitana
Andrei Motoc,"Andrei Motoc            




            Difensore centrale",225 mila €,US Salernitana
Emanuele Elia,"Emanuele Elia            




            Difensore centrale",50 mila €,US Salernitana
Niccolò Guccione,"Niccolò Guccione            




            Difensore centrale",-,US Salernitana
Domagoj Bradarić,"Domagoj Bradarić            




            Terzino sinistro","5,00 mln €",US Salernitana
Tommaso Ferrari,"Tommaso Ferrari            




            Terzino sinistro",100 mila €,US Salernitana
Alessandro Zanoli,"Alessandro Zanoli            




            Terzino destro","5,00 mln €",US Salernitana
Pasquale Mazzocchi,"Pasquale Mazzocchi            




            Terzino destro","3,00 mln €",US Salernitana
Junior Sambia,"Junior Sambia            




            Terzino destro","2,00 mln €",US Salernitana
Niccolò Pierozzi,"Niccolò Pierozzi            




            Terzino destro","1,80 mln €",US Salernitana
Mateusz Legowski,"Mateusz Legowski            




            Mediano","3,00 mln €",US Salernitana
Emil Bohinen,"Emil Bohinen            




            Mediano","1,80 mln €",US Salernitana
Ciro Borrelli,"Ciro Borrelli            




            Mediano",-,US Salernitana
Lassana Coulibaly,"Lassana Coulibaly            




            Centrale","3,50 mln €",US Salernitana
Giulio Maggiore,"Giulio Maggiore  




            Centrale","3,50 mln €",US Salernitana
Toma Bašić,"Toma Bašić            




            Centrale","2,80 mln €",US Salernitana
Mamadou Coulibaly,"Mamadou Coulibaly            




            Centrale","1,30 mln €",US Salernitana
Antonio Pio Iervolino,"Antonio Pio Iervolino            




            Centrale",50 mila €,US Salernitana
Rocco Di Vico,"Rocco Di Vico            




            Centrale",-,US Salernitana
Agustín Martegani,"Agustín Martegani            




            Trequartista","1,80 mln €",US Salernitana
Grigoris Kastanos,"Grigoris Kastanos            




            Trequartista","1,80 mln €",US Salernitana
Antonio Candreva,"Antonio Candreva            




            Trequartista","1,00 mln €",US Salernitana
Iron Gomis,"Iron Gomis            




            Trequartista",900 mila €,US Salernitana
Jovane Cabral,"Jovane Cabral            




            Ala sinistra","2,50 mln €",US Salernitana
Andres Sfait,"Andres Sfait            




            Ala sinistra",500 mila €,US Salernitana
Loum Tchaouna,"Loum Tchaouna            




            Ala destra","8,00 mln €",US Salernitana
Emanuel Vignato,"Emanuel Vignato            




            Ala destra","1,10 mln €",US Salernitana
Luca Boncori,"Luca Boncori            




            Seconda punta",-,US Salernitana
Boulaye Dia,"Boulaye Dia            




            Punta centrale","10,00 mln €",US Salernitana
Erik Botheim,"Erik Botheim            




            Punta centrale","3,50 mln €",US Salernitana
Chukwubuikem Ikwuemesi,"Chukwubuikem Ikwuemesi            




            Punta centrale","1,80 mln €",US Salernitana
Shon Weissman,"Shon Weissman            




            Punta centrale","1,70 mln €",US Salernitana
Simy,"Simy            




            Punta centrale",500 mila €,US Salernitana
Mikael,"Mikael            




            Punta centrale",300 mila €,US Salernitana
Trivante Stewart,"Trivante Stewart            




            Punta centrale",150 mila €,US Salernitana
Gerardo Fusco,"Gerardo Fusco            




            Punta centrale",125 mila €,US Salernitana
Simone Scuffet,"Simone Scuffet            




            Portiere","2,50 mln €",Cagliari Calcio
Boris Radunović,"Boris Radunović            




            Portiere","1,00 mln €",Cagliari Calcio
Velizar-Iliya Iliev,"Velizar-Iliya Iliev            




            Portiere",100 mila €,Cagliari Calcio
Simone Aresti,"Simone Aresti            




            Portiere",75 mila €,Cagliari Calcio
Alberto Dossena,"Alberto Dossena            




            Difensore centrale","5,00 mln €",Cagliari Calcio
Adam Obert,"Adam Obert            




            Difensore centrale","3,50 mln €",Cagliari Calcio
Mateusz Wieteska,"Mateusz Wieteska            




            Difensore centrale","3,00 mln €",Cagliari Calcio
Yerry Mina,"Yerry Mina            




            Difensore centrale","3,00 mln €",Cagliari Calcio
Pantelis Hatzidiakos,"Pantelis Hatzidiakos            




            Difensore centrale","2,50 mln €",Cagliari Calcio
Giorgio Altare,"Giorgio Altare            




            Difensore centrale","2,00 mln €",Cagliari Calcio
Edoardo Goldaniga,"Edoardo Goldaniga  




            Difensore centrale","1,20 mln €",Cagliari Calcio
Elio Capradossi,"Elio Capradossi            




            Difensore centrale",300 mila €,Cagliari Calcio
Tommaso Augello,"Tommaso Augello            




            Terzino sinistro","2,00 mln €",Cagliari Calcio
Paulo Azzi,"Paulo Azzi            




            Terzino sinistro","1,00 mln €",Cagliari Calcio
Gabriele Zappa,"Gabriele Zappa            




            Terzino destro","2,50 mln €",Cagliari Calcio
Alessandro Di Pardo,"Alessandro Di Pardo            




            Terzino destro",900 mila €,Cagliari Calcio
Matteo Prati,"Matteo Prati            




            Mediano","10,00 mln €",Cagliari Calcio
Antoine Makoumbou,"Antoine Makoumbou            




            Mediano","4,50 mln €",Cagliari Calcio
Ibrahim Sulemana,"Ibrahim Sulemana            




            Mediano","4,00 mln €",Cagliari Calcio
Nahitan Nández,"Nahitan Nández            




            Centrale","5,00 mln €",Cagliari Calcio
Alessandro Deiola,"Alessandro Deiola            




            Centrale","1,90 mln €",Cagliari Calcio
Marko Rog,"Marko Rog            




            Centrale","1,30 mln €",Cagliari Calcio
Christos Kourfalidis,"Christos Kourfalidis            




            Centrale",800 mila €,Cagliari Calcio
Nicolas Viola,"Nicolas Viola            




            Centrale",800 mila €,Cagliari Calcio
Nunzio Lella,"Nunzio Lella            




            Centrale",750 mila €,Cagliari Calcio
Jakub Jankto,"Jakub Jankto            




            Centrocampista di sinistra","1,20 mln €",Cagliari Calcio
Gianluca Gaetano,"Gianluca Gaetano            




            Trequartista","6,00 mln €",Cagliari Calcio
Gaetano Oristanio,"Gaetano Oristanio            




            Trequartista","4,00 mln €",Cagliari Calcio
Gastón Pereiro,"Gastón Pereiro            




            Trequartista","1,00 mln €",Cagliari Calcio
Marco Mancosu,"Marco Mancosu            




            Trequartista",400 mila €,Cagliari Calcio
Alessandro Vinciguerra,"Alessandro Vinciguerra            




            Ala sinistra",200 mila €,Cagliari Calcio
Jacopo Desogus,"Jacopo Desogus            




            Ala sinistra",200 mila €,Cagliari Calcio
Zito Luvumbo,"Zito Luvumbo  




            Punta centrale","7,50 mln €",Cagliari Calcio
Eldor Shomurodov,"Eldor Shomurodov            




            Punta centrale","5,00 mln €",Cagliari Calcio
Andrea Petagna,"Andrea Petagna            




            Punta centrale","3,80 mln €",Cagliari Calcio
Gianluca Lapadula,"Gianluca Lapadula            




            Punta centrale","1,50 mln €",Cagliari Calcio
Kingstone Mutandwa,"Kingstone Mutandwa            




            Punta centrale","1,00 mln €",Cagliari Calcio
Leonardo Pavoletti,"Leonardo Pavoletti  




            Punta centrale",800 mila €,Cagliari Calcio
