name,role,age,market_value,squadra,stagione
Wojciech Szczesny,"Wojciech Szczesny            




            Portiere",18/apr/1990 (32),"15,00 mln €",Juventus FC,2021
Mattia Perin,"Mattia Perin            




            Portiere",10/nov/1992 (29),"4,00 mln €",Juventus FC,2021
Franco Israel,"Franco Israel            




            Portiere",22/apr/2000 (22),"1,00 mln €",Juventus FC,2021
Carlo Pinsoglio,"Carlo Pinsoglio            




            Portiere",16/mar/1990 (32),400 mila €,Juventus FC,2021
Zsombor Senkó,"Zsombor Senkó            




            Portiere",04/gen/2003 (19),200 mila €,Juventus FC,2021
Marco Raina,"Marco Raina            




            Portiere",25/mag/2002 (20),50 mila €,Juventus FC,2021
Matthijs de Ligt,"Matthijs de Ligt            




            Difensore centrale",12/ago/1999 (22),"70,00 mln €",Juventus FC,2021
Danilo,"Danilo            




            Difensore centrale",15/lug/1991 (30),"13,00 mln €",Juventus FC,2021
Leonardo Bonucci,"Leonardo Bonucci            




            Difensore centrale",01/mag/1987 (35),"6,00 mln €",Juventus FC,2021
Daniele Rugani,"Daniele Rugani            




            Difensore centrale",29/lug/1994 (27),"3,50 mln €",Juventus FC,2021
Koni De Winter,"Koni De Winter            




            Difensore centrale",12/giu/2002 (20),"2,20 mln €",Juventus FC,2021
Giorgio Chiellini,"Giorgio Chiellini            




            Difensore centrale",14/ago/1984 (37),"1,50 mln €",Juventus FC,2021
Diego Stramaccioni,"Diego Stramaccioni            




            Difensore centrale",02/gen/2001 (21),350 mila €,Juventus FC,2021
Luca Pellegrini,"Luca Pellegrini            




            Terzino sinistro",07/mar/1999 (23),"9,00 mln €",Juventus FC,2021
Alex Sandro,"Alex Sandro            




            Terzino sinistro",26/gen/1991 (31),"6,00 mln €",Juventus FC,2021
Mattia De Sciglio,"Mattia De Sciglio            




            Terzino destro",20/ott/1992 (29),"6,00 mln €",Juventus FC,2021
Manuel Locatelli,"Manuel Locatelli  




            Mediano",08/gen/1998 (24),"35,00 mln €",Juventus FC,2021
Rodrigo Bentancur,"Rodrigo Bentancur            




            Mediano",25/giu/1997 (25),"28,00 mln €",Juventus FC,2021
Denis Zakaria,"Denis Zakaria            




            Mediano",20/nov/1996 (25),"27,00 mln €",Juventus FC,2021
Arthur Melo,"Arthur Melo            




            Mediano",12/ago/1996 (25),"18,00 mln €",Juventus FC,2021
Martin Palumbo,"Martin Palumbo            




            Mediano",05/mar/2002 (20),700 mila €,Juventus FC,2021
Weston McKennie,"Weston McKennie            




            Centrale",28/ago/1998 (23),"25,00 mln €",Juventus FC,2021
Adrien Rabiot,"Adrien Rabiot            




            Centrale",03/apr/1995 (27),"17,00 mln €",Juventus FC,2021
Nicolò Fagioli,"Nicolò Fagioli            




            Centrale",12/feb/2001 (21),"6,50 mln €",Juventus FC,2021
Fabio Miretti,"Fabio Miretti            




            Centrale",03/ago/2003 (18),"5,00 mln €",Juventus FC,2021
Aaron Ramsey,"Aaron Ramsey  




            Centrale",26/dic/1990 (31),"3,00 mln €",Juventus FC,2021
Filippo Ranocchia,"Filippo Ranocchia            




            Centrale",14/mag/2001 (21),"1,80 mln €",Juventus FC,2021
Hans Nicolussi Caviglia,"Hans Nicolussi Caviglia  




            Centrale",18/giu/2000 (22),900 mila €,Juventus FC,2021
Emanuele Zuelli,"Emanuele Zuelli            




            Centrale",22/nov/2001 (20),700 mila €,Juventus FC,2021
Juan Cuadrado,"Juan Cuadrado  




            Centrocampista di destra",26/mag/1988 (34),"8,00 mln €",Juventus FC,2021
Dejan Kulusevski,"Dejan Kulusevski  




            Trequartista",25/apr/2000 (22),"40,00 mln €",Juventus FC,2021
Marley Aké,"Marley Aké            




            Ala sinistra",05/gen/2001 (21),"2,50 mln €",Juventus FC,2021
Samuel Iling-Junior,"Samuel Iling-Junior            




            Ala sinistra",04/ott/2003 (18),700 mila €,Juventus FC,2021
Federico Chiesa,"Federico Chiesa            




            Ala destra",25/ott/1997 (24),"65,00 mln €",Juventus FC,2021
Federico Bernardeschi,"Federico Bernardeschi            




            Ala destra",16/feb/1994 (28),"10,00 mln €",Juventus FC,2021
Matías Soulé,"Matías Soulé            




            Ala destra",15/apr/2003 (19),"2,50 mln €",Juventus FC,2021
Paulo Dybala,"Paulo Dybala  




            Seconda punta",15/nov/1993 (28),"35,00 mln €",Juventus FC,2021
Dušan Vlahović,"Dušan Vlahović            




            Punta centrale",28/gen/2000 (22),"85,00 mln €",Juventus FC,2021
Cristiano Ronaldo,"Cristiano Ronaldo            




            Punta centrale",05/feb/1985 (37),"30,00 mln €",Juventus FC,2021
Álvaro Morata,"Álvaro Morata            




            Punta centrale",23/ott/1992 (29),"25,00 mln €",Juventus FC,2021
Moise Kean,"Moise Kean            




            Punta centrale",28/feb/2000 (22),"24,00 mln €",Juventus FC,2021
Kaio Jorge,"Kaio Jorge            




            Punta centrale",24/gen/2002 (20),"7,00 mln €",Juventus FC,2021
Cosimo da Graça,"Cosimo da Graça            




            Punta centrale",01/mag/2002 (20),"1,00 mln €",Juventus FC,2021
Andrei Radu,"Andrei Radu            




            Portiere",28/mag/1997 (25),"3,50 mln €",Inter,2021
Samir Handanovič,"Samir Handanovič            




            Portiere",14/lug/1984 (37),"2,00 mln €",Inter,2021
Alex Cordaz,"Alex Cordaz            




            Portiere",01/gen/1983 (39),400 mila €,Inter,2021
William Rovida,"William Rovida            




            Portiere",14/mar/2003 (19),200 mila €,Inter,2021
Milan Škriniar,"Milan Škriniar            




            Difensore centrale",11/feb/1995 (27),"65,00 mln €",Inter,2021
Alessandro Bastoni,"Alessandro Bastoni  




            Difensore centrale",13/apr/1999 (23),"60,00 mln €",Inter,2021
Stefan de Vrij,"Stefan de Vrij  




            Difensore centrale",05/feb/1992 (30),"28,00 mln €",Inter,2021
Danilo D'Ambrosio,"Danilo D'Ambrosio            




            Difensore centrale",09/set/1988 (33),"3,00 mln €",Inter,2021
Andrea Ranocchia,"Andrea Ranocchia            




            Difensore centrale",16/feb/1988 (34),800 mila €,Inter,2021
Fabio Cortinovis,"Fabio Cortinovis  




            Difensore centrale",20/apr/2002 (20),50 mila €,Inter,2021
Robin Gosens,"Robin Gosens            




            Terzino sinistro",05/lug/1994 (27),"28,00 mln €",Inter,2021
Federico Dimarco,"Federico Dimarco  




            Terzino sinistro",10/nov/1997 (24),"18,00 mln €",Inter,2021
Franco Carboni,"Franco Carboni            




            Terzino sinistro",04/apr/2003 (19),"1,00 mln €",Inter,2021
Aleksandar Kolarov,"Aleksandar Kolarov            




            Terzino sinistro",10/nov/1985 (36),500 mila €,Inter,2021
Denzel Dumfries,"Denzel Dumfries  




            Terzino destro",18/apr/1996 (26),"25,00 mln €",Inter,2021
Matteo Darmian,"Matteo Darmian            




            Terzino destro",02/dic/1989 (32),"5,00 mln €",Inter,2021
Mattia Zanotti,"Mattia Zanotti            




            Terzino destro",11/gen/2003 (19),350 mila €,Inter,2021
Marcelo Brozović,"Marcelo Brozović            




            Mediano",16/nov/1992 (29),"40,00 mln €",Inter,2021
Hakan Çalhanoğlu,"Hakan Çalhanoğlu            




            Mediano",08/feb/1994 (28),"35,00 mln €",Inter,2021
Lucien Agoumé,"Lucien Agoumé            




            Mediano",09/feb/2002 (20),"7,00 mln €",Inter,2021
Mattia Sangalli,"Mattia Sangalli            




            Mediano",27/feb/2002 (20),250 mila €,Inter,2021
Nicolò Barella,"Nicolò Barella            




            Centrale",07/feb/1997 (25),"70,00 mln €",Inter,2021
Roberto Gagliardini,"Roberto Gagliardini            




            Centrale",07/apr/1994 (28),"8,00 mln €",Inter,2021
Stefano Sensi,"Stefano Sensi  




            Centrale",05/ago/1995 (26),"7,00 mln €",Inter,2021
Matías Vecino,"Matías Vecino  




            Centrale",24/ago/1991 (30),"3,50 mln €",Inter,2021
Arturo Vidal,"Arturo Vidal            




            Centrale",22/mag/1987 (35),"2,00 mln €",Inter,2021
Cesare Casadei,"Cesare Casadei            




            Centrale",10/gen/2003 (19),"1,00 mln €",Inter,2021
Ivan Perisic,"Ivan Perisic            




            Ala sinistra",02/feb/1989 (33),"10,00 mln €",Inter,2021
Joaquín Correa,"Joaquín Correa            




            Seconda punta",13/ago/1994 (27),"23,00 mln €",Inter,2021
Lautaro Martínez,"Lautaro Martínez   




            Punta centrale",22/ago/1997 (24),"75,00 mln €",Inter,2021
Andrea Pinamonti,"Andrea Pinamonti            




            Punta centrale",19/mag/1999 (23),"20,00 mln €",Inter,2021
Martín Satriano,"Martín Satriano  




            Punta centrale",20/feb/2001 (21),"7,00 mln €",Inter,2021
Edin Džeko,"Edin Džeko            




            Punta centrale",17/mar/1986 (36),"4,00 mln €",Inter,2021
Alexis Sánchez,"Alexis Sánchez  




            Punta centrale",19/dic/1988 (33),"3,50 mln €",Inter,2021
Felipe Caicedo,"Felipe Caicedo            




            Punta centrale",05/set/1988 (33),"1,50 mln €",Inter,2021
Dennis Curatolo,"Dennis Curatolo            




            Punta centrale",03/apr/2004 (18),-,Inter,2021
Mike Maignan,"Mike Maignan  




            Portiere",03/lug/1995 (26),"35,00 mln €",AC Milan,2021
Alessandro Plizzari,"Alessandro Plizzari            




            Portiere",12/mar/2000 (22),800 mila €,AC Milan,2021
Ciprian Tătărușanu,"Ciprian Tătărușanu            




            Portiere",09/feb/1986 (36),600 mila €,AC Milan,2021
Antonio Mirante,"Antonio Mirante            




            Portiere",08/lug/1983 (38),300 mila €,AC Milan,2021
Sebastiano Desplanches,"Sebastiano Desplanches            




            Portiere",11/mar/2003 (19),200 mila €,AC Milan,2021
Andreas Jungdal,"Andreas Jungdal            




            Portiere",22/feb/2002 (20),150 mila €,AC Milan,2021
Lapo Nava,"Lapo Nava            




            Portiere",22/gen/2004 (18),-,AC Milan,2021
Fikayo Tomori,"Fikayo Tomori            




            Difensore centrale",19/dic/1997 (24),"50,00 mln €",AC Milan,2021
Pierre Kalulu,"Pierre Kalulu            




            Difensore centrale",05/giu/2000 (22),"28,00 mln €",AC Milan,2021
Alessio Romagnoli,"Alessio Romagnoli            




            Difensore centrale",12/gen/1995 (27),"17,00 mln €",AC Milan,2021
Simon Kjaer,"Simon Kjaer            




            Difensore centrale",26/mar/1989 (33),"6,00 mln €",AC Milan,2021
Matteo Gabbia,"Matteo Gabbia            




            Difensore centrale",21/ott/1999 (22),"6,00 mln €",AC Milan,2021
Luca Stanga,"Luca Stanga            




            Difensore centrale",23/gen/2002 (20),150 mila €,AC Milan,2021
Theo Hernández,"Theo Hernández            




            Terzino sinistro",06/ott/1997 (24),"55,00 mln €",AC Milan,2021
Fodé Ballo-Touré,"Fodé Ballo-Touré            




            Terzino sinistro",03/gen/1997 (25),"3,50 mln €",AC Milan,2021
Davide Calabria,"Davide Calabria            




            Terzino destro",06/dic/1996 (25),"25,00 mln €",AC Milan,2021
Alessandro Florenzi,"Alessandro Florenzi            




            Terzino destro",11/mar/1991 (31),"5,50 mln €",AC Milan,2021
Andrea Conti,"Andrea Conti            




            Terzino destro",02/mar/1994 (28),"2,50 mln €",AC Milan,2021
Ismaël Bennacer,"Ismaël Bennacer  




            Mediano",01/dic/1997 (24),"33,00 mln €",AC Milan,2021
Tiemoué Bakayoko,"Tiemoué Bakayoko  




            Mediano",17/ago/1994 (27),"10,00 mln €",AC Milan,2021
Rade Krunic,"Rade Krunic            




            Mediano",07/ott/1993 (28),"9,00 mln €",AC Milan,2021
Sandro Tonali,"Sandro Tonali            




            Centrale",08/mag/2000 (22),"50,00 mln €",AC Milan,2021
Franck Kessié,"Franck Kessié            




            Centrale",19/dic/1996 (25),"45,00 mln €",AC Milan,2021
Tommaso Pobega,"Tommaso Pobega            




            Centrale",15/lug/1999 (22),"16,00 mln €",AC Milan,2021
Enrico Di Gesù,"Enrico Di Gesù            




            Centrale",26/mar/2002 (20),150 mila €,AC Milan,2021
Daniel Maldini,"Daniel Maldini            




            Trequartista",11/ott/2001 (20),"2,00 mln €",AC Milan,2021
Rafael Leão,"Rafael Leão            




            Ala sinistra",10/giu/1999 (23),"70,00 mln €",AC Milan,2021
Ante Rebić,"Ante Rebić            




            Ala sinistra",21/set/1993 (28),"17,00 mln €",AC Milan,2021
Brahim Díaz,"Brahim Díaz            




            Ala destra",03/ago/1999 (22),"18,00 mln €",AC Milan,2021
Alexis Saelemaekers,"Alexis Saelemaekers            




            Ala destra",27/giu/1999 (23),"17,00 mln €",AC Milan,2021
Junior Messias,"Junior Messias  




            Ala destra",13/mag/1991 (31),"6,00 mln €",AC Milan,2021
Samu Castillejo,"Samu Castillejo  




            Ala destra",18/gen/1995 (27),"4,00 mln €",AC Milan,2021
Pietro Pellegri,"Pietro Pellegri  




            Punta centrale",17/mar/2001 (21),"4,50 mln €",AC Milan,2021
Olivier Giroud,"Olivier Giroud  




            Punta centrale",30/set/1986 (35),"3,50 mln €",AC Milan,2021
Zlatan Ibrahimović,"Zlatan Ibrahimović            




            Punta centrale",03/ott/1981 (40),"3,00 mln €",AC Milan,2021
Marko Lazetić,"Marko Lazetić            




            Punta centrale",22/gen/2004 (18),"3,00 mln €",AC Milan,2021
Emil Roback,"Emil Roback            




            Punta centrale",03/mag/2003 (19),100 mila €,AC Milan,2021
Alex Meret,"Alex Meret            




            Portiere",22/mar/1997 (25),"10,00 mln €",SSC Napoli,2021
David Ospina,"David Ospina            




            Portiere",31/ago/1988 (33),"5,00 mln €",SSC Napoli,2021
Hubert Idasiak,"Hubert Idasiak            




            Portiere",03/feb/2002 (20),150 mila €,SSC Napoli,2021
Davide Marfella,"Davide Marfella            




            Portiere",15/set/1999 (22),50 mila €,SSC Napoli,2021
Valerio Boffelli,"Valerio Boffelli            




            Portiere",04/set/2004 (17),-,SSC Napoli,2021
Kalidou Koulibaly,"Kalidou Koulibaly            




            Difensore centrale",20/giu/1991 (31),"35,00 mln €",SSC Napoli,2021
Amir Rrahmani,"Amir Rrahmani            




            Difensore centrale",24/feb/1994 (28),"25,00 mln €",SSC Napoli,2021
Konstantinos Manolas,"Konstantinos Manolas            




            Difensore centrale",14/giu/1991 (31),"4,50 mln €",SSC Napoli,2021
Juan Jesus,"Juan Jesus            




            Difensore centrale",10/giu/1991 (31),"4,00 mln €",SSC Napoli,2021
Davide Costanzo,"Davide Costanzo            




            Difensore centrale",04/lug/2002 (19),125 mila €,SSC Napoli,2021
Benedetto Barba,"Benedetto Barba            




            Difensore centrale",27/gen/2003 (19),75 mila €,SSC Napoli,2021
Jonathan Spedalieri,"Jonathan Spedalieri            




            Difensore centrale",26/gen/2002 (20),50 mila €,SSC Napoli,2021
Mário Rui,"Mário Rui            




            Terzino sinistro",27/mag/1991 (31),"8,00 mln €",SSC Napoli,2021
Faouzi Ghoulam,"Faouzi Ghoulam            




            Terzino sinistro",01/feb/1991 (31),"1,40 mln €",SSC Napoli,2021
Giovanni Di Lorenzo,"Giovanni Di Lorenzo  




            Terzino destro",04/ago/1993 (28),"25,00 mln €",SSC Napoli,2021
Axel Tuanzebe,"Axel Tuanzebe  




            Terzino destro",14/nov/1997 (24),"7,00 mln €",SSC Napoli,2021
Alessandro Zanoli,"Alessandro Zanoli            




            Terzino destro",03/ott/2000 (21),"4,00 mln €",SSC Napoli,2021
Kévin Malcuit,"Kévin Malcuit            




            Terzino destro",31/lug/1991 (30),"1,00 mln €",SSC Napoli,2021
Moussa Mané,"Moussa Mané            




            Terzino destro",19/nov/2003 (18),25 mila €,SSC Napoli,2021
Stanislav Lobotka,"Stanislav Lobotka            




            Mediano",25/nov/1994 (27),"20,00 mln €",SSC Napoli,2021
Diego Demme,"Diego Demme            




            Mediano",21/nov/1991 (30),"8,00 mln €",SSC Napoli,2021
Luca Palmiero,"Luca Palmiero  




            Mediano",01/mag/1996 (26),"1,20 mln €",SSC Napoli,2021
Fabián Ruiz,"Fabián Ruiz            




            Centrale",03/apr/1996 (26),"55,00 mln €",SSC Napoli,2021
Piotr Zieliński,"Piotr Zieliński  




            Centrale",20/mag/1994 (28),"40,00 mln €",SSC Napoli,2021
Frank Anguissa,"Frank Anguissa            




            Centrale",16/nov/1995 (26),"30,00 mln €",SSC Napoli,2021
Eljif Elmas,"Eljif Elmas            




            Trequartista",24/set/1999 (22),"24,00 mln €",SSC Napoli,2021
Gianluca Gaetano,"Gianluca Gaetano            




            Trequartista",05/mag/2000 (22),"4,50 mln €",SSC Napoli,2021
Antonio Vergara,"Antonio Vergara            




            Trequartista",16/gen/2003 (19),150 mila €,SSC Napoli,2021
Hirving Lozano,"Hirving Lozano  




            Ala sinistra",30/lug/1995 (26),"30,00 mln €",SSC Napoli,2021
Lorenzo Insigne,"Lorenzo Insigne            




            Ala sinistra",04/giu/1991 (31),"25,00 mln €",SSC Napoli,2021
Antonio Cioffi,"Antonio Cioffi            




            Ala sinistra",19/dic/2002 (19),500 mila €,SSC Napoli,2021
Matteo Politano,"Matteo Politano            




            Ala destra",03/ago/1993 (28),"20,00 mln €",SSC Napoli,2021
Adam Ounas,"Adam Ounas  




            Ala destra",11/nov/1996 (25),"7,00 mln €",SSC Napoli,2021
Dries Mertens,"Dries Mertens            




            Seconda punta",06/mag/1987 (35),"4,00 mln €",SSC Napoli,2021
Victor Osimhen,"Victor Osimhen            




            Punta centrale",29/dic/1998 (23),"65,00 mln €",SSC Napoli,2021
Andrea Petagna,"Andrea Petagna            




            Punta centrale",30/giu/1995 (27),"12,00 mln €",SSC Napoli,2021
Giuseppe Ambrosino,"Giuseppe Ambrosino            




            Punta centrale",10/set/2003 (18),500 mila €,SSC Napoli,2021
Juan Musso,"Juan Musso            




            Portiere",06/mag/1994 (28),"18,00 mln €",Atalanta,2021
Marco Sportiello,"Marco Sportiello            




            Portiere",10/mag/1992 (30),"1,50 mln €",Atalanta,2021
Jacopo Sassi,"Jacopo Sassi            




            Portiere",24/lug/2003 (18),200 mila €,Atalanta,2021
Matevz Dajcar,"Matevz Dajcar            




            Portiere",05/feb/2002 (20),150 mila €,Atalanta,2021
Francesco Rossi,"Francesco Rossi            




            Portiere",27/apr/1991 (31),100 mila €,Atalanta,2021
Tommaso Bertini,"Tommaso Bertini            




            Portiere",13/gen/2004 (18),-,Atalanta,2021
Merih Demiral,"Merih Demiral  




            Difensore centrale",05/mar/1998 (24),"25,00 mln €",Atalanta,2021
Berat Djimsiti,"Berat Djimsiti            




            Difensore centrale",19/feb/1993 (29),"17,00 mln €",Atalanta,2021
Giorgio Scalvini,"Giorgio Scalvini  




            Difensore centrale",11/dic/2003 (18),"10,00 mln €",Atalanta,2021
Rafael Tolói,"Rafael Tolói  




            Difensore centrale",10/ott/1990 (31),"8,00 mln €",Atalanta,2021
José Luis Palomino,"José Luis Palomino            




            Difensore centrale",05/gen/1990 (32),"7,50 mln €",Atalanta,2021
Matteo Lovato,"Matteo Lovato            




            Difensore centrale",14/feb/2000 (22),"7,00 mln €",Atalanta,2021
Bosko Sutalo,"Bosko Sutalo  




            Difensore centrale",01/gen/2000 (22),"3,00 mln €",Atalanta,2021
Giorgio Cittadini,"Giorgio Cittadini  




            Difensore centrale",18/apr/2002 (20),300 mila €,Atalanta,2021
Robin Gosens,"Robin Gosens            




            Terzino sinistro",05/lug/1994 (27),"28,00 mln €",Atalanta,2021
Joakim Maehle,"Joakim Maehle            




            Terzino sinistro",20/mag/1997 (25),"14,00 mln €",Atalanta,2021
Giuseppe Pezzella,"Giuseppe Pezzella            




            Terzino sinistro",29/nov/1997 (24),"5,00 mln €",Atalanta,2021
Hans Hateboer,"Hans Hateboer            




            Terzino destro",09/gen/1994 (28),"13,00 mln €",Atalanta,2021
Enrico Delprato,"Enrico Delprato            




            Terzino destro",10/nov/1999 (22),"2,00 mln €",Atalanta,2021
Guillaume Renault,"Guillaume Renault            




            Terzino destro",17/mar/2002 (20),350 mila €,Atalanta,2021
Marten de Roon,"Marten de Roon            




            Mediano",29/mar/1991 (31),"17,00 mln €",Atalanta,2021
Simone Panada,"Simone Panada            




            Mediano",02/giu/2002 (20),300 mila €,Atalanta,2021
Mario Pasalic,"Mario Pasalic            




            Centrale",09/feb/1995 (27),"28,00 mln €",Atalanta,2021
Remo Freuler,"Remo Freuler            




            Centrale",15/apr/1992 (30),"20,00 mln €",Atalanta,2021
Matteo Pessina,"Matteo Pessina  




            Centrale",21/apr/1997 (25),"16,00 mln €",Atalanta,2021
Jacopo Da Riva,"Jacopo Da Riva            




            Centrale",27/ott/2000 (21),"1,30 mln €",Atalanta,2021
Alassane Sidibe,"Alassane Sidibe            




            Centrale",09/giu/2002 (20),"1,00 mln €",Atalanta,2021
Samuel Giovane,"Samuel Giovane            




            Centrale",28/mar/2003 (19),500 mila €,Atalanta,2021
Federico Zuccon,"Federico Zuccon            




            Centrale",01/apr/2003 (19),200 mila €,Atalanta,2021
Davide Zappacosta,"Davide Zappacosta            




            Centrocampista di destra",11/giu/1992 (30),"9,00 mln €",Atalanta,2021
Andrea Oliveri,"Andrea Oliveri            




            Centrocampista di destra",14/gen/2003 (19),400 mila €,Atalanta,2021
Ruslan Malinovskyi,"Ruslan Malinovskyi            




            Trequartista",04/mag/1993 (29),"28,00 mln €",Atalanta,2021
Teun Koopmeiners,"Teun Koopmeiners            




            Trequartista",28/feb/1998 (24),"25,00 mln €",Atalanta,2021
Aleksey Miranchuk,"Aleksey Miranchuk            




            Trequartista",17/ott/1995 (26),"10,00 mln €",Atalanta,2021
Josip Ilicic,"Josip Ilicic  




            Trequartista",29/gen/1988 (34),"1,00 mln €",Atalanta,2021
Jérémie Boga,"Jérémie Boga            




            Ala sinistra",03/gen/1997 (25),"19,00 mln €",Atalanta,2021
Valentin Mihăilă,"Valentin Mihăilă  




            Ala sinistra",02/feb/2000 (22),"5,50 mln €",Atalanta,2021
Bryan Cabezas,"Bryan Cabezas            




            Ala sinistra",20/mar/1997 (25),300 mila €,Atalanta,2021
Tommaso De Nipoti,"Tommaso De Nipoti            




            Seconda punta",23/lug/2003 (18),150 mila €,Atalanta,2021
Duván Zapata,"Duván Zapata  




            Punta centrale",01/apr/1991 (31),"28,00 mln €",Atalanta,2021
Luis Muriel,"Luis Muriel            




            Punta centrale",16/apr/1991 (31),"20,00 mln €",Atalanta,2021
Roberto Piccoli,"Roberto Piccoli            




            Punta centrale",27/gen/2001 (21),"4,00 mln €",Atalanta,2021
Sam Lammers,"Sam Lammers            




            Punta centrale",30/apr/1997 (25),"3,00 mln €",Atalanta,2021
Moustapha Cissé,"Moustapha Cissé            




            Punta centrale",14/set/2003 (18),"1,00 mln €",Atalanta,2021
Rui Patrício,"Rui Patrício            




            Portiere",15/feb/1988 (34),"6,00 mln €",AS Roma,2021
Daniel Fuzato,"Daniel Fuzato            




            Portiere",04/lug/1997 (24),800 mila €,AS Roma,2021
Pietro Boer,"Pietro Boer            




            Portiere",12/mag/2002 (20),150 mila €,AS Roma,2021
Davide Mastrantonio,"Davide Mastrantonio            




            Portiere",16/gen/2004 (18),-,AS Roma,2021
Roger Ibañez,"Roger Ibañez            




            Difensore centrale",23/nov/1998 (23),"23,00 mln €",AS Roma,2021
Gianluca Mancini,"Gianluca Mancini            




            Difensore centrale",17/apr/1996 (26),"21,00 mln €",AS Roma,2021
Marash Kumbulla,"Marash Kumbulla            




            Difensore centrale",08/feb/2000 (22),"16,00 mln €",AS Roma,2021
Chris Smalling,"Chris Smalling            




            Difensore centrale",22/nov/1989 (32),"8,00 mln €",AS Roma,2021
Maissa Ndiaye,"Maissa Ndiaye            




            Difensore centrale",28/gen/2002 (20),400 mila €,AS Roma,2021
Dimitrios Keramitsis,"Dimitrios Keramitsis            




            Difensore centrale",01/lug/2004 (17),-,AS Roma,2021
Leonardo Spinazzola,"Leonardo Spinazzola            




            Terzino sinistro",25/mar/1993 (29),"20,00 mln €",AS Roma,2021
Matías Viña,"Matías Viña  




            Terzino sinistro",09/nov/1997 (24),"7,50 mln €",AS Roma,2021
Riccardo Calafiori,"Riccardo Calafiori  




            Terzino sinistro",19/mag/2002 (20),"3,50 mln €",AS Roma,2021
Davide Santon,"Davide Santon            




            Terzino sinistro",02/gen/1991 (31),500 mila €,AS Roma,2021
Jan Oliveras,"Jan Oliveras            




            Terzino sinistro",07/lug/2004 (17),-,AS Roma,2021
Rick Karsdorp,"Rick Karsdorp            




            Terzino destro",11/feb/1995 (27),"13,00 mln €",AS Roma,2021
Ainsley Maitland-Niles,"Ainsley Maitland-Niles            




            Terzino destro",29/ago/1997 (24),"10,00 mln €",AS Roma,2021
Bryan Reynolds,"Bryan Reynolds            




            Terzino destro",28/giu/2001 (21),"3,50 mln €",AS Roma,2021
Filippo Missori,"Filippo Missori            




            Terzino destro",24/mar/2004 (18),-,AS Roma,2021
Bryan Cristante,"Bryan Cristante            




            Mediano",03/mar/1995 (27),"20,00 mln €",AS Roma,2021
Amadou Diawara,"Amadou Diawara            




            Mediano",17/lug/1997 (24),"6,00 mln €",AS Roma,2021
Ebrima Darboe,"Ebrima Darboe            




            Mediano",06/giu/2001 (21),"2,00 mln €",AS Roma,2021
Filippo Tripi,"Filippo Tripi            




            Mediano",06/gen/2002 (20),300 mila €,AS Roma,2021
Jordan Veretout,"Jordan Veretout            




            Centrale",01/mar/1993 (29),"17,00 mln €",AS Roma,2021
Sérgio Oliveira,"Sérgio Oliveira            




            Centrale",02/giu/1992 (30),"12,00 mln €",AS Roma,2021
Henrikh Mkhitaryan,"Henrikh Mkhitaryan            




            Centrale",21/gen/1989 (33),"8,00 mln €",AS Roma,2021
Gonzalo Villar,"Gonzalo Villar            




            Centrale",23/mar/1998 (24),"5,00 mln €",AS Roma,2021
Edoardo Bove,"Edoardo Bove  




            Centrale",16/mag/2002 (20),"1,10 mln €",AS Roma,2021
Nicola Zalewski,"Nicola Zalewski            




            Centrocampista di sinistra",23/gen/2002 (20),"12,00 mln €",AS Roma,2021
Lorenzo Pellegrini,"Lorenzo Pellegrini  




            Trequartista",19/giu/1996 (26),"45,00 mln €",AS Roma,2021
Nicolò Zaniolo,"Nicolò Zaniolo            




            Trequartista",02/lug/1999 (22),"33,00 mln €",AS Roma,2021
Cristian Volpato,"Cristian Volpato            




            Trequartista",15/nov/2003 (18),900 mila €,AS Roma,2021
Stephan El Shaarawy,"Stephan El Shaarawy            




            Ala sinistra",27/ott/1992 (29),"6,00 mln €",AS Roma,2021
Carles Pérez,"Carles Pérez            




            Ala destra",16/feb/1998 (24),"6,00 mln €",AS Roma,2021
Tammy Abraham,"Tammy Abraham            




            Punta centrale",02/ott/1997 (24),"50,00 mln €",AS Roma,2021
Borja Mayoral,"Borja Mayoral            




            Punta centrale",05/apr/1997 (25),"9,00 mln €",AS Roma,2021
Eldor Shomurodov,"Eldor Shomurodov            




            Punta centrale",29/giu/1995 (27),"8,00 mln €",AS Roma,2021
Felix Afena-Gyan,"Felix Afena-Gyan            




            Punta centrale",19/gen/2003 (19),"6,00 mln €",AS Roma,2021
Joel Voelkerling Persson,"Joel Voelkerling Persson            




            Punta centrale",15/gen/2003 (19),600 mila €,AS Roma,2021
Bartlomiej Dragowski,"Bartlomiej Dragowski            




            Portiere",19/ago/1997 (24),"6,00 mln €",ACF Fiorentina,2021
Pietro Terracciano,"Pietro Terracciano            




            Portiere",08/mar/1990 (32),"1,50 mln €",ACF Fiorentina,2021
Michele Cerofolini,"Michele Cerofolini            




            Portiere",04/gen/1999 (23),400 mila €,ACF Fiorentina,2021
Antonio Rosati,"Antonio Rosati            




            Portiere",26/giu/1983 (39),100 mila €,ACF Fiorentina,2021
Nikola Milenković,"Nikola Milenković            




            Difensore centrale",12/ott/1997 (24),"20,00 mln €",ACF Fiorentina,2021
Igor,"Igor  




            Difensore centrale",07/feb/1998 (24),"14,00 mln €",ACF Fiorentina,2021
Lucas Martínez Quarta,"Lucas Martínez Quarta  




            Difensore centrale",10/mag/1996 (26),"12,00 mln €",ACF Fiorentina,2021
