Name,Role,Market Value,Squadra
Roberto Gagliardini,"Roberto Gagliardini  




            Centrale","4,00 mln €",Inter
Ebenezer Akinsanmiro,"Ebenezer Akinsanmiro            




            Centrale",800 mila €,Inter
Raoul Bellanova,"Raoul Bellanova            




            Centrocampista di destra","5,00 mln €",Inter
Valentín Carboni,"Valentín Carboni  




            Trequartista","5,00 mln €",Inter
Issiaka Kamate,"Issiaka Kamate            




            Ala destra",200 mila €,Inter
Joaquín Correa,"Joaquín Correa            




            Seconda punta","12,00 mln €",Inter
Lautaro Martínez,"Lautaro Martínez  




            Punta centrale","85,00 mln €",Inter
Romelu Lukaku,"Romelu Lukaku            




            Punta centrale","40,00 mln €",Inter
Edin Dzeko,"Edin Dzeko            




            Punta centrale","4,00 mln €",Inter
Eddie Salcedo,"Eddie Salcedo            




            Punta centrale","2,50 mln €",Inter
Dennis Curatolo,"Dennis Curatolo            




            Punta centrale",150 mila €,Inter
Mike Maignan,"Mike Maignan            




            Portiere","45,00 mln €",AC Milan
Ciprian Tătărușanu,"Ciprian Tătărușanu            




            Portiere",400 mila €,AC Milan
Devis Vásquez,"Devis Vásquez            




            Portiere",350 mila €,AC Milan
Andreas Jungdal,"Andreas Jungdal            




            Portiere",300 mila €,AC Milan
Lapo Nava,"Lapo Nava            




            Portiere",150 mila €,AC Milan
Antonio Mirante,"Antonio Mirante            




            Portiere",100 mila €,AC Milan
Fikayo Tomori,"Fikayo Tomori            




            Difensore centrale","40,00 mln €",AC Milan
Pierre Kalulu,"Pierre Kalulu            




            Difensore centrale","30,00 mln €",AC Milan
Malick Thiaw,"Malick Thiaw            




            Difensore centrale","20,00 mln €",AC Milan
Matteo Gabbia,"Matteo Gabbia            




            Difensore centrale","5,00 mln €",AC Milan
Simon Kjær,"Simon Kjær            




            Difensore centrale","3,50 mln €",AC Milan
Andrei Coubiș,"Andrei Coubiș            




            Difensore centrale",100 mila €,AC Milan
Theo Hernández,"Theo Hernández            




            Terzino sinistro","60,00 mln €",AC Milan
Fodé Ballo-Touré,"Fodé Ballo-Touré            




            Terzino sinistro","3,50 mln €",AC Milan
Andrea Bozzolan,"Andrea Bozzolan            




            Terzino sinistro",125 mila €,AC Milan
Davide Calabria,"Davide Calabria  




            Terzino destro","20,00 mln €",AC Milan
Sergiño Dest,"Sergiño Dest  




            Terzino destro","10,00 mln €",AC Milan
Alessandro Florenzi,"Alessandro Florenzi  




            Terzino destro","2,00 mln €",AC Milan
Ismaël Bennacer,"Ismaël Bennacer            




            Mediano","40,00 mln €",AC Milan
Rade Krunic,"Rade Krunic            




            Mediano","10,00 mln €",AC Milan
Yacine Adli,"Yacine Adli            




            Mediano","8,00 mln €",AC Milan
Tiemoué Bakayoko,"Tiemoué Bakayoko            




            Mediano","2,50 mln €",AC Milan
Sandro Tonali,"Sandro Tonali            




            Centrale","50,00 mln €",AC Milan
Tommaso Pobega,"Tommaso Pobega  




            Centrale","14,00 mln €",AC Milan
Aster Vranckx,"Aster Vranckx  




            Centrale","8,50 mln €",AC Milan
Antonio Gala,"Antonio Gala            




            Centrale",75 mila €,AC Milan
Charles De Ketelaere,"Charles De Ketelaere            




            Trequartista","22,00 mln €",AC Milan
Rafael Leão,"Rafael Leão  




            Ala sinistra","90,00 mln €",AC Milan
Ante Rebić,"Ante Rebić            




            Ala sinistra","6,00 mln €",AC Milan
Brahim Díaz,"Brahim Díaz            




            Ala destra","20,00 mln €",AC Milan
Alexis Saelemaekers,"Alexis Saelemaekers            




            Ala destra","15,00 mln €",AC Milan
Junior Messias,"Junior Messias  




            Ala destra","4,50 mln €",AC Milan
Divock Origi,"Divock Origi            




            Punta centrale","6,00 mln €",AC Milan
Olivier Giroud,"Olivier Giroud            




            Punta centrale","4,00 mln €",AC Milan
Marko Lazetić,"Marko Lazetić            




            Punta centrale","2,00 mln €",AC Milan
Zlatan Ibrahimović,"Zlatan Ibrahimović            




            Punta centrale","2,00 mln €",AC Milan
Wojciech Szczęsny,"Wojciech Szczęsny            




            Portiere","10,00 mln €",Juventus FC
Mattia Perin,"Mattia Perin            




            Portiere","4,00 mln €",Juventus FC
Gian Marco Crespi,"Gian Marco Crespi  




            Portiere",200 mila €,Juventus FC
Giovanni Garofani,"Giovanni Garofani            




            Portiere",200 mila €,Juventus FC
Carlo Pinsoglio,"Carlo Pinsoglio            




            Portiere",200 mila €,Juventus FC
Simone Scaglia,"Simone Scaglia  




            Portiere",25 mila €,Juventus FC
Bremer,"Bremer  




            Difensore centrale","40,00 mln €",Juventus FC
Danilo,"Danilo  




            Difensore centrale","15,00 mln €",Juventus FC
Federico Gatti,"Federico Gatti            




            Difensore centrale","12,00 mln €",Juventus FC
Daniele Rugani,"Daniele Rugani            




            Difensore centrale","2,00 mln €",Juventus FC
Leonardo Bonucci,"Leonardo Bonucci            




            Difensore centrale","1,50 mln €",Juventus FC
Alessandro Pio Riccio,"Alessandro Pio Riccio            




            Difensore centrale",700 mila €,Juventus FC
Filip Kostić,"Filip Kostić  




            Terzino sinistro","22,00 mln €",Juventus FC
Alex Sandro,"Alex Sandro            




            Terzino sinistro","3,00 mln €",Juventus FC
Mattia De Sciglio,"Mattia De Sciglio            




            Terzino destro","3,00 mln €",Juventus FC
Tommaso Barbieri,"Tommaso Barbieri            




            Terzino destro","1,20 mln €",Juventus FC
Manuel Locatelli,"Manuel Locatelli  




            Mediano","30,00 mln €",Juventus FC
Denis Zakaria,"Denis Zakaria  




            Mediano","18,00 mln €",Juventus FC
Nicolò Rovella,"Nicolò Rovella            




            Mediano","18,00 mln €",Juventus FC
Leandro Paredes,"Leandro Paredes            




            Mediano","12,00 mln €",Juventus FC
Enzo Barrenechea,"Enzo Barrenechea            




            Mediano",900 mila €,Juventus FC
Adrien Rabiot,"Adrien Rabiot            




            Centrale","40,00 mln €",Juventus FC
Nicolò Fagioli,"Nicolò Fagioli            




            Centrale","35,00 mln €",Juventus FC
Weston McKennie,"Weston McKennie            




            Centrale","18,00 mln €",Juventus FC
Paul Pogba,"Paul Pogba  




            Centrale","15,00 mln €",Juventus FC
Fabio Miretti,"Fabio Miretti            




            Centrale","15,00 mln €",Juventus FC
Alessandro Sersanti,"Alessandro Sersanti            




            Centrale",400 mila €,Juventus FC
Juan Cuadrado,"Juan Cuadrado  




            Centrocampista di destra","4,00 mln €",Juventus FC
Nikola Sekulov,"Nikola Sekulov            




            Trequartista",600 mila €,Juventus FC
Mohamed Ihattaren,"Mohamed Ihattaren            




            Trequartista",-,Juventus FC
Samuel Iling-Junior,"Samuel Iling-Junior            




            Ala sinistra","9,00 mln €",Juventus FC
Federico Chiesa,"Federico Chiesa            




            Ala destra","40,00 mln €",Juventus FC
Ángel Di María,"Ángel Di María            




            Ala destra","8,00 mln €",Juventus FC
Matías Soulé,"Matías Soulé            




            Ala destra","4,00 mln €",Juventus FC
Mattia Compagnon,"Mattia Compagnon            




            Ala destra",400 mila €,Juventus FC
Dušan Vlahović,"Dušan Vlahović            




            Punta centrale","70,00 mln €",Juventus FC
Moise Kean,"Moise Kean            




            Punta centrale","18,00 mln €",Juventus FC
Arkadiusz Milik,"Arkadiusz Milik            




            Punta centrale","8,00 mln €",Juventus FC
Kaio Jorge,"Kaio Jorge  




            Punta centrale","3,00 mln €",Juventus FC
Cosimo da Graça,"Cosimo da Graça            




            Punta centrale",800 mila €,Juventus FC
Rui Patrício,"Rui Patrício            




            Portiere","5,00 mln €",AS Roma
Mile Svilar,"Mile Svilar            




            Portiere","1,50 mln €",AS Roma
Pietro Boer,"Pietro Boer            




            Portiere",150 mila €,AS Roma
Gabriele Baldi,"Gabriele Baldi            




            Portiere",100 mila €,AS Roma
Jacopo Del Bello,"Jacopo Del Bello            




            Portiere",25 mila €,AS Roma
Roger Ibañez,"Roger Ibañez            




            Difensore centrale","30,00 mln €",AS Roma
Gianluca Mancini,"Gianluca Mancini            




            Difensore centrale","18,00 mln €",AS Roma
Diego Llorente,"Diego Llorente            




            Difensore centrale","12,00 mln €",AS Roma
Chris Smalling,"Chris Smalling            




            Difensore centrale","8,00 mln €",AS Roma
Marash Kumbulla,"Marash Kumbulla            




            Difensore centrale","8,00 mln €",AS Roma
Dimitrios Keramitsis,"Dimitrios Keramitsis            




            Difensore centrale",250 mila €,AS Roma
William Bianda,"William Bianda            




            Difensore centrale",200 mila €,AS Roma
Brian Silva,"Brian Silva            




            Difensore centrale",75 mila €,AS Roma
Leonardo Spinazzola,"Leonardo Spinazzola            




            Terzino sinistro","10,00 mln €",AS Roma
Matías Viña,"Matías Viña  




            Terzino sinistro","8,00 mln €",AS Roma
Jan Oliveras,"Jan Oliveras  




            Terzino sinistro",175 mila €,AS Roma
Matteo Falasca,"Matteo Falasca            




            Terzino sinistro",100 mila €,AS Roma
Zeki Çelik,"Zeki Çelik            




            Terzino destro","10,00 mln €",AS Roma
Rick Karsdorp,"Rick Karsdorp            




            Terzino destro","7,00 mln €",AS Roma
Filippo Missori,"Filippo Missori            




            Terzino destro",800 mila €,AS Roma
Corentin Louakima,"Corentin Louakima            




            Terzino destro",100 mila €,AS Roma
Bryan Cristante,"Bryan Cristante  




            Mediano","20,00 mln €",AS Roma
Nemanja Matic,"Nemanja Matic            




            Mediano","4,00 mln €",AS Roma
Ebrima Darboe,"Ebrima Darboe            




            Mediano","1,80 mln €",AS Roma
Benjamin Tahirovic,"Benjamin Tahirovic  




            Mediano","1,50 mln €",AS Roma
Giacomo Faticanti,"Giacomo Faticanti            




            Mediano",800 mila €,AS Roma
Filippo Tripi,"Filippo Tripi            




            Mediano",300 mila €,AS Roma
Mady Camara,"Mady Camara            




            Centrale","10,00 mln €",AS Roma
Edoardo Bove,"Edoardo Bove  




            Centrale","10,00 mln €",AS Roma
Georginio Wijnaldum,"Georginio Wijnaldum            




            Centrale","8,00 mln €",AS Roma
Niccolò Pisilli,"Niccolò Pisilli            




            Centrale","1,00 mln €",AS Roma
Riccardo Pagano,"Riccardo Pagano            




            Centrale",900 mila €,AS Roma
Nicola Zalewski,"Nicola Zalewski            




            Centrocampista di sinistra","20,00 mln €",AS Roma
Lorenzo Pellegrini,"Lorenzo Pellegrini  




            Trequartista","35,00 mln €",AS Roma
Nicolò Zaniolo,"Nicolò Zaniolo            




            Trequartista","27,00 mln €",AS Roma
Cristian Volpato,"Cristian Volpato            




            Trequartista","3,00 mln €",AS Roma
Ante Coric,"Ante Coric            




            Trequartista",300 mila €,AS Roma
Claudio Cassano,"Claudio Cassano            




            Trequartista",200 mila €,AS Roma
Stephan El Shaarawy,"Stephan El Shaarawy            




            Ala sinistra","5,00 mln €",AS Roma
Luigi Cherubini,"Luigi Cherubini            




            Ala sinistra",200 mila €,AS Roma
Ola Solbakken,"Ola Solbakken  




            Ala destra","3,50 mln €",AS Roma
Paulo Dybala,"Paulo Dybala            




            Seconda punta","30,00 mln €",AS Roma
Tammy Abraham,"Tammy Abraham            




            Punta centrale","40,00 mln €",AS Roma
Andrea Belotti,"Andrea Belotti            




            Punta centrale","8,00 mln €",AS Roma
Eldor Shomurodov,"Eldor Shomurodov            




            Punta centrale","6,00 mln €",AS Roma
Felix Afena-Gyan,"Felix Afena-Gyan            




            Punta centrale","5,00 mln €",AS Roma
Jordan Majchrzak,"Jordan Majchrzak            




            Punta centrale",400 mila €,AS Roma
Juan Musso,"Juan Musso            




            Portiere","8,00 mln €",Atalanta
Marco Sportiello,"Marco Sportiello            




            Portiere","1,50 mln €",Atalanta
Tommaso Bertini,"Tommaso Bertini            




            Portiere",100 mila €,Atalanta
Francesco Rossi,"Francesco Rossi            




            Portiere",100 mila €,Atalanta
Giorgio Scalvini,"Giorgio Scalvini            




            Difensore centrale","40,00 mln €",Atalanta
Merih Demiral,"Merih Demiral            




            Difensore centrale","20,00 mln €",Atalanta
Caleb Okoli,"Caleb Okoli            




            Difensore centrale","10,00 mln €",Atalanta
Berat Djimsiti,"Berat Djimsiti            




            Difensore centrale","10,00 mln €",Atalanta
Rafael Tolói,"Rafael Tolói  




            Difensore centrale","6,00 mln €",Atalanta
José Luis Palomino,"José Luis Palomino            




            Difensore centrale","2,50 mln €",Atalanta
Iacopo Regonesi,"Iacopo Regonesi            




            Difensore centrale",200 mila €,Atalanta
Tommaso Del Lungo,"Tommaso Del Lungo            




            Difensore centrale",100 mila €,Atalanta
Joakim Maehle,"Joakim Maehle            




            Terzino destro","14,00 mln €",Atalanta
Brandon Soppy,"Brandon Soppy            




            Terzino destro","9,00 mln €",Atalanta
Hans Hateboer,"Hans Hateboer            




            Terzino destro","6,00 mln €",Atalanta
Marten de Roon,"Marten de Roon            




            Mediano","10,00 mln €",Atalanta
Mannah Chiwisa,"Mannah Chiwisa            




            Mediano",125 mila €,Atalanta
Leonardo Mendicino,"Leonardo Mendicino            




            Mediano",-,Atalanta
Éderson,"Éderson            




            Centrale","20,00 mln €",Atalanta
Mario Pasalic,"Mario Pasalic            




            Centrale","20,00 mln €",Atalanta
Endri Muhameti,"Endri Muhameti            




            Centrale",150 mila €,Atalanta
Matteo Colombo,"Matteo Colombo            




            Centrale",125 mila €,Atalanta
Simone Muratore,"Simone Muratore            




            Centrale",100 mila €,Atalanta
Davide Zappacosta,"Davide Zappacosta            




            Centrocampista di destra","7,00 mln €",Atalanta
Nadir Zortea,"Nadir Zortea            




            Centrocampista di destra","2,00 mln €",Atalanta
Marco Palestra,"Marco Palestra            




            Centrocampista di destra",-,Atalanta
Matteo Ruggeri,"Matteo Ruggeri            




            Centrocampista di sinistra","4,00 mln €",Atalanta
Lorenzo Bernasconi,"Lorenzo Bernasconi            




            Centrocampista di sinistra",75 mila €,Atalanta
Teun Koopmeiners,"Teun Koopmeiners            




            Trequartista","30,00 mln €",Atalanta
Ruslan Malinovskyi,"Ruslan Malinovskyi  




            Trequartista","15,00 mln €",Atalanta
Jérémie Boga,"Jérémie Boga  




            Ala sinistra","14,00 mln €",Atalanta
Lukas Vorlicky,"Lukas Vorlicky  




            Ala sinistra",100 mila €,Atalanta
Ademola Lookman,"Ademola Lookman            




            Seconda punta","30,00 mln €",Atalanta
Tommaso De Nipoti,"Tommaso De Nipoti            




            Seconda punta",175 mila €,Atalanta
Alessandro Falleni,"Alessandro Falleni            




            Seconda punta",25 mila €,Atalanta
Rasmus Højlund,"Rasmus Højlund            




            Punta centrale","45,00 mln €",Atalanta
Duván Zapata,"Duván Zapata  




            Punta centrale","8,00 mln €",Atalanta
Luis Muriel,"Luis Muriel            




            Punta centrale","5,00 mln €",Atalanta
Ivan Provedel,"Ivan Provedel            




            Portiere","12,00 mln €",SS Lazio
Luís Maximiano,"Luís Maximiano            




            Portiere","6,00 mln €",SS Lazio
Marius Adamonis,"Marius Adamonis  




            Portiere",150 mila €,SS Lazio
Federico Magro,"Federico Magro            




            Portiere",-,SS Lazio
Nicolò Casale,"Nicolò Casale            




            Difensore centrale","22,00 mln €",SS Lazio
Alessio Romagnoli,"Alessio Romagnoli            




            Difensore centrale","18,00 mln €",SS Lazio
Patric,"Patric  




            Difensore centrale","5,00 mln €",SS Lazio
Mario Gila,"Mario Gila            




            Difensore centrale","3,00 mln €",SS Lazio
Fabio Andrea Ruggeri,"Fabio Andrea Ruggeri            




            Difensore centrale",75 mila €,SS Lazio
Luca Pellegrini,"Luca Pellegrini            




            Terzino sinistro","7,00 mln €",SS Lazio
Mohamed Salim Fares,"Mohamed Salim Fares            




            Terzino sinistro","2,00 mln €",SS Lazio
Dimitrije Kamenovic,"Dimitrije Kamenovic            




            Terzino sinistro",700 mila €,SS Lazio
Ștefan Radu,"Ștefan Radu            




            Terzino sinistro",300 mila €,SS Lazio
Adam Marusic,"Adam Marusic            




            Terzino destro","8,00 mln €",SS Lazio
Elseid Hysaj,"Elseid Hysaj            




            Terzino destro","5,00 mln €",SS Lazio
Djavan Anderson,"Djavan Anderson            




            Terzino destro",275 mila €,SS Lazio
Romano Floriani Mussolini,"Romano Floriani Mussolini            




            Terzino destro",75 mila €,SS Lazio
Danilo Cataldi,"Danilo Cataldi            




            Mediano","10,00 mln €",SS Lazio
Marco Bertini,"Marco Bertini            




            Mediano",100 mila €,SS Lazio
Sergej Milinković-Savić,"Sergej Milinković-Savić            




            Centrale","50,00 mln €",SS Lazio
Marcos Antônio,"Marcos Antônio            




            Centrale","8,00 mln €",SS Lazio
Toma Bašić,"Toma Bašić            




            Centrale","6,00 mln €",SS Lazio
Matías Vecino,"Matías Vecino  




            Centrale","4,50 mln €",SS Lazio
Manuel Lazzari,"Manuel Lazzari  




            Centrocampista di destra","7,50 mln €",SS Lazio
Luis Alberto,"Luis Alberto            




            Trequartista","18,00 mln €",SS Lazio
Mattia Zaccagni,"Mattia Zaccagni  




            Ala sinistra","30,00 mln €",SS Lazio
Felipe Anderson,"Felipe Anderson            




            Ala sinistra","15,00 mln €",SS Lazio
Raúl Moro,"Raúl Moro            




            Ala sinistra","2,50 mln €",SS Lazio
Matteo Cancellieri,"Matteo Cancellieri            




            Ala destra","5,00 mln €",SS Lazio
Luka Romero,"Luka Romero            




            Ala destra","3,00 mln €",SS Lazio
Pedro,"Pedro  




            Ala destra","1,50 mln €",SS Lazio
Diego González,"Diego González            




            Ala destra",750 mila €,SS Lazio
Ciro Immobile,"Ciro Immobile            




            Punta centrale","15,00 mln €",SS Lazio
Pierluigi Gollini,"Pierluigi Gollini            




            Portiere","4,50 mln €",ACF Fiorentina
Pietro Terracciano,"Pietro Terracciano            




            Portiere","2,00 mln €",ACF Fiorentina
Michele Cerofolini,"Michele Cerofolini            




            Portiere",500 mila €,ACF Fiorentina
Salvatore Sirigu,"Salvatore Sirigu            




            Portiere",500 mila €,ACF Fiorentina
Tommaso Martinelli,"Tommaso Martinelli            




            Portiere",-,ACF Fiorentina
Tommaso Vannucchi,"Tommaso Vannucchi            




            Portiere",-,ACF Fiorentina
Nikola Milenković,"Nikola Milenković            




            Difensore centrale","18,00 mln €",ACF Fiorentina
Lucas Martínez Quarta,"Lucas Martínez Quarta            




            Difensore centrale","10,00 mln €",ACF Fiorentina
Igor,"Igor            




            Difensore centrale","10,00 mln €",ACF Fiorentina
Luca Ranieri,"Luca Ranieri            




            Difensore centrale","2,50 mln €",ACF Fiorentina
Matija Nastasic,"Matija Nastasic            




            Difensore centrale","1,50 mln €",ACF Fiorentina
Dimo Krastev,"Dimo Krastev            




            Difensore centrale",200 mila €,ACF Fiorentina
Cristiano Biraghi,"Cristiano Biraghi  




            Terzino sinistro","5,00 mln €",ACF Fiorentina
Aleksa Terzic,"Aleksa Terzic            




            Terzino sinistro","2,00 mln €",ACF Fiorentina
Dodô,"Dodô            




            Terzino destro","20,00 mln €",ACF Fiorentina
Lorenzo Venuti,"Lorenzo Venuti            




            Terzino destro","2,00 mln €",ACF Fiorentina
Michael Kayode,"Michael Kayode            




            Terzino destro",800 mila €,ACF Fiorentina
Sofyan Amrabat,"Sofyan Amrabat            




            Mediano","30,00 mln €",ACF Fiorentina
Rolando Mandragora,"Rolando Mandragora            




            Mediano","10,00 mln €",ACF Fiorentina
Lorenzo Amatucci,"Lorenzo Amatucci            




            Mediano",700 mila €,ACF Fiorentina
Gaetano Castrovilli,"Gaetano Castrovilli            




            Centrale","10,00 mln €",ACF Fiorentina
Youssef Maleh,"Youssef Maleh            




            Centrale","4,50 mln €",ACF Fiorentina
Alfred Duncan,"Alfred Duncan  




            Centrale","4,00 mln €",ACF Fiorentina
Szymon Żurkowski,"Szymon Żurkowski            




            Centrale","3,50 mln €",ACF Fiorentina
Giacomo Bonaventura,"Giacomo Bonaventura            




            Centrale","2,50 mln €",ACF Fiorentina
Marco Benassi,"Marco Benassi            




            Centrale","1,50 mln €",ACF Fiorentina
Alessandro Bianco,"Alessandro Bianco            




            Centrale",800 mila €,ACF Fiorentina
Costantino Favasuli,"Costantino Favasuli            




            Centrocampista di sinistra",200 mila €,ACF Fiorentina
Antonín Barák,"Antonín Barák            




            Trequartista","10,00 mln €",ACF Fiorentina
Riccardo Saponara,"Riccardo Saponara            




            Trequartista","2,00 mln €",ACF Fiorentina
Christian Kouamé,"Christian Kouamé            




            Ala sinistra","12,00 mln €",ACF Fiorentina
Riccardo Sottil,"Riccardo Sottil            




            Ala sinistra","8,00 mln €",ACF Fiorentina
Josip Brekalo,"Josip Brekalo            




            Ala sinistra","5,00 mln €",ACF Fiorentina
Nico González,"Nico González            




            Ala destra","30,00 mln €",ACF Fiorentina
Jonathan Ikoné,"Jonathan Ikoné            




            Ala destra","16,00 mln €",ACF Fiorentina
Filippo Distefano,"Filippo Distefano            




            Seconda punta",600 mila €,ACF Fiorentina
Arthur Cabral,"Arthur Cabral            




            Punta centrale","20,00 mln €",ACF Fiorentina
Luka Jović,"Luka Jović            




            Punta centrale","8,00 mln €",ACF Fiorentina
Andrea Consigli,"Andrea Consigli            




            Portiere","1,00 mln €",US Sassuolo
Alessandro Russo,"Alessandro Russo            




            Portiere",350 mila €,US Sassuolo
Gioele Zacchi,"Gioele Zacchi            




            Portiere",150 mila €,US Sassuolo
Gianluca Pegolo,"Gianluca Pegolo            




            Portiere",100 mila €,US Sassuolo
Martin Erlić,"Martin Erlić            




            Difensore centrale","5,00 mln €",US Sassuolo
Ruan,"Ruan            




            Difensore centrale","4,50 mln €",US Sassuolo
Gian Marco Ferrari,"Gian Marco Ferrari            




            Difensore centrale","2,00 mln €",US Sassuolo
Filippo Romagna,"Filippo Romagna            




            Difensore centrale",400 mila €,US Sassuolo
Adrian Cannavaro,"Adrian Cannavaro            




            Difensore centrale",100 mila €,US Sassuolo
Rogério,"Rogério  




            Terzino sinistro","5,50 mln €",US Sassuolo
Riccardo Marchizza,"Riccardo Marchizza            




            Terzino sinistro","1,00 mln €",US Sassuolo
Edoardo Pieragnolo,"Edoardo Pieragnolo            




            Terzino sinistro",100 mila €,US Sassuolo
Jeremy Toljan,"Jeremy Toljan            




            Terzino destro","4,50 mln €",US Sassuolo
Mert Müldür,"Mert Müldür  




            Terzino destro","4,00 mln €",US Sassuolo
Kaan Ayhan,"Kaan Ayhan            




            Terzino destro","3,70 mln €",US Sassuolo
Maxime Lopez,"Maxime Lopez            




            Mediano","15,00 mln €",US Sassuolo
Davide Frattesi,"Davide Frattesi            




            Centrale","25,00 mln €",US Sassuolo
Matheus Henrique,"Matheus Henrique  




            Centrale","10,00 mln €",US Sassuolo
Abdou Harroui,"Abdou Harroui  




            Centrale","2,70 mln €",US Sassuolo
Pedro Obiang,"Pedro Obiang            




            Centrale",800 mila €,US Sassuolo
Nadir Zortea,"Nadir Zortea            




            Centrocampista di destra","2,00 mln €",US Sassuolo
Georgios Kyriakopoulos,"Georgios Kyriakopoulos  




            Centrocampista di sinistra","3,80 mln €",US Sassuolo
Hamed Junior Traoré,"Hamed Junior Traoré            




            Trequartista","22,00 mln €",US Sassuolo
Nedim Bajrami,"Nedim Bajrami            




            Trequartista","7,50 mln €",US Sassuolo
Kristian Thorstvedt,"Kristian Thorstvedt            




            Trequartista","7,50 mln €",US Sassuolo
Kevin Bruno,"Kevin Bruno            




            Trequartista",-,US Sassuolo
